Site ID	Pt	Bp	Ab	Ll	Pb	Pc	Pm	Pg
132	0	0	0	0	0.285656558	0	0.714343442	0
133	0	0	0	0.996959846	0	0	0	0.003040154
134	0	0	0	0	0	0	1	0
135	0.099771266	0	0.087892852	0	0	0	0	0.812335882
136	0	0	0.108452237	0	0	0	0.891547763	0
137	0.283926527	0	0	0	0	0.040375926	0	0.675697547
138	0	0	0.058899001	0	0	0	0.049619976	0.891481022
139	0	0	0.002360806	0	0.739298828	0	0	0.258340367
140	0	0	0.097617792	0	0.154749935	0	0	0.747632273
141	0	0	0	0.01799736	0.064077973	0	0.045039312	0.872885355
142	0	0	0	0	0.930263989	0	0	0.069736011
143	0.412347749	0	0	0	0.05859827	0	0	0.52905398
144	0.671623066	0	0	0	0	0	0	0.328376934
145	0	0	0	0.212955469	0	0	0	0.787044531
146	0.379047963	0	0	0	0	0.057639989	0	0.563312047
147	0	0.016914064	0.008651709	0	0	0.042051459	0	0.932382768
148	0	0	0.109755009	0	0	0	0.038937782	0.851307209
149	0.207116691	0	0	0	0	0.068349306	0.297904172	0.426629831
150	0.434197418	0	0	0	0.378245317	0	0	0.187557265
151	0.183909012	0	0.021578319	0	0	0	0	0.794512669
152	0	0	0	0	0	0	0.800990757	0.199009243
153	0.087031861	0	0	0	0.828634776	0	0	0.084333363
154	0	0	0	0	0.325585523	0	0	0.674414477
155	0	0	0	0	0	0	0	1
156	0	0	0	0	0.107832882	0	0	0.892167118
157	0	0	0	0.099023493	0	0	0.495945926	0.405030581
158	0	0	0.002088516	0	0.193592126	0	0	0.804319357
159	0.051700033	0.004019364	0	0	0.614112196	0.038196342	0	0.291972065
160	0	0.025615293	0.04335391	0	0.930332498	0	0	0.000698298
161	0.761536455	0	0.045121289	0	0	0	0	0.193342256
162	0	0	0	0	0.942911359	0	0	0.057088641
163	0	0	0	0	0.160371424	0	0	0.839628576
164	0	0	0	0	0.119660113	0	0	0.880339887
165	0.857958367	0	0.015684496	0	0	0	0	0.126357137
166	0.836159019	0	0.012091654	0	0	0	0	0.151749327
167	0	0	0	0	0.839151586	0	0	0.160848414
168	0	0	0	0	0	0.172077471	0.669240499	0.15868203
169	0.359080308	0	0	0	0.640919692	0	0	0
170	0.825346525	0	0	0	0	0	0	0.174653475
172	0.578586231	0	0	0	0.219047604	0	0	0.202366165
173	0	0	0	0	0	0	1	0
174	0	0.031286012	0	0	0.308386563	0	0	0.660327425
175	0.906645719	0	0.093354281	0	0	0	0	0
177	0	0.088453508	0	0	0.911546492	0	0	0
178	0	0	0	0	0.925755008	0	0	0.074244992
179	0	0	0	0	0.278641032	0	0.721358968	0
180	0.272962722	0	0	0	0	0.268143491	0	0.458893787
181	0.242407741	0	0	0	0	0	0	0.757592259
182	0.187921745	0	0	0	0	0	0	0.812078255
183	0.512548324	0	0	0	0.158385029	0	0	0.329066647
184	0	0	0	0.27109241	0	0	0.72890759	0
185	0.404510256	0	0	0	0.412192159	0	0	0.183297586
186	0.038108376	0	0	0	0.961891624	0	0	0
187	0.13316261	0	0	0	0.86683739	0	0	0
188	0	0.026380376	0	0	0.914900297	0.058719327	0	0
189	0	0	0	0	0.856434404	0.061508018	0	0.082057578
190	0.027062531	0	0	0	0.074836219	0.079978134	0	0.818123116
192	0	0	0	0.09149337	0	0	0.90850663	0
193	0	0	0	0	0	0	1	0
194	0.260307355	0	0	0	0	0	0.739692645	0
195	0.281485699	0	0	0	0.040917938	0.247421018	0.167108766	0.263066579
196	0	0	0	0	1	0	0	0
197	0.060374254	0	0	0	0.939625746	0	0	0
198	0.132813557	0	0	0	0.867186443	0	0	0
199	0.876954004	0	0	0	0	0	0	0.123045996
200	0	0	0	0	0.835071774	0	0	0.164928226
