"FT"	"YLN"	"LJ"	"WJ"	"YYH"	"PL"	"GY"
"Pasania.hancei.v..ternaticupula.f..subreticulata"	0	0	0	0	0	2	0
"Pasania.harlandii"	0	2	1	13	0	0	0
"Pasania.kawakamii"	0	0	26	0	0	0	0
"Pasania.synbalanos"	0	0	0	14	0	0	0
"Perrottetia.arisanensis"	0	0	3	0	0	0	0
"Picea.morrisonicola"	0	0	0	0	0	1	18
"Pieris.taiwanensis"	0	0	0	0	1	0	0
"Pinus.armandii.v..mastersiana"	0	0	0	0	0	1	0
"Pourthiaea.beauverdiana.v..notabilis"	0	0	0	0	0	3	1
"Prinsepia.scandens"	0	0	0	0	0	0	14
"Prunus.phaeosticta"	0	19	135	178	0	2	0
"Prunus.spinulosa.v..globosa"	0	0	0	0	0	0	27
"Psychotria.rubra"	7	4	0	1	0	0	0
"Quercus.spinosa"	0	0	0	0	0	0	3
"Rhamnus.pilushanensis"	0	0	0	0	0	0	1
"Rhaphiolepis.indica.v..tashiroi"	0	0	0	3	0	0	0
"Rhododendron.formosanum"	0	0	0	0	65	0	0
"Rhododendron.leptosanthum"	0	0	12	3	1	7	0
"Ribes.formosanum"	0	0	0	0	0	0	2
"Saurauia.tristyla.v..oldhamii"	1	12	0	0	0	0	0
"Schefflera.octophylla"	2	51	0	10	0	0	0
"Schefflera.taiwaniana"	0	0	0	0	56	0	0
"Schima.superba"	0	3	12	32	0	5	0
"Sloanea.formosana"	0	8	2	0	0	0	0
"Styrax.formosana"	0	0	1	0	0	0	0
"Sycopsis.sinensis"	0	0	0	0	0	2	0
"Symplocos.arisanensis"	0	0	0	0	23	0	0
"Symplocos.congesta.v..theifolia"	0	0	0	29	0	0	0
"Symplocos.formosana"	0	9	25	11	0	26	0
"Symplocos.heishanensis"	0	0	0	1	0	11	0
"Symplocos.migoi"	0	1	0	0	0	23	0
"Symplocos.modesta"	0	17	11	0	0	0	0
"Symplocos.morrisonicola"	0	0	0	25	78	0	0
"Symplocos.setchuensis"	0	0	0	86	0	0	0
"Symplocos.sonoharae"	0	0	0	1	0	0	0
"Symplocos.stellaris"	0	0	0	0	0	20	0
"Symplocos.wikstroemiifolia"	0	0	0	0	1	0	0
"Tarenna.gracilipes"	0	2	0	0	0	0	0
"Ternstroemia.gymnanthera"	0	1	0	13	29	0	0
"Tricalysia.dubia"	0	0	0	73	0	0	0
"Trochodendron.aralioides"	0	0	0	1	11	43	0
"Tsuga.chinensis.v..formosana"	0	0	0	0	10	25	0
"Turpinia.formosana"	0	2	0	0	0	0	0
"Turpinia.ternata"	0	0	2	0	0	0	0
"Vaccinium.bracteatum"	0	0	2	0	0	0	0
"Vaccinium.japonicum.v..lasiostemon"	0	0	0	0	1	0	0
"Vaccinium.kengii"	0	0	0	1	0	0	0
"Viburnum.foetidum.v..rectangulatum"	0	0	0	0	1	0	0
"Viburnum.formosanum"	0	0	10	0	0	0	0
"Viburnum.integrifolium"	0	0	0	16	0	0	0
"Viburnum.sympodiale"	0	0	0	0	18	0	0
"Viburnum.urceolatum"	0	0	0	0	1	0	0
