"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"
"128"	0	1	5	5	10	16	15	25	11	11	0	0	5	14	8	28	17	26	17	6	0	2	3	4	11	8	26	12	9	6	0	1	2	4	11	16	12	22	10	4	0	0	1	9	14	16	27	16	11	6
"129"	1	1	1	6	8	15	22	19	12	4	0	0	1	8	4	15	22	20	14	6	0	0	3	5	16	11	24	27	9	3	0	0	1	2	10	15	28	14	11	3	0	0	1	11	9	15	32	29	13	3
"130"	0	0	4	4	7	14	23	19	14	2	1	0	4	1	8	18	30	28	10	4	0	0	2	9	16	10	20	18	11	6	0	0	1	7	7	32	21	23	12	6	0	1	1	6	17	13	23	25	8	8
"131"	0	0	4	8	4	21	21	22	17	2	2	0	0	2	5	12	26	32	4	5	0	0	4	2	12	16	26	29	13	4	0	1	1	3	6	17	23	30	14	4	0	0	0	7	6	13	29	28	10	4
"132"	0	0	1	4	11	11	14	12	5	1	0	0	0	0	3	3	13	19	3	0	0	0	2	2	7	5	19	10	8	1	0	0	0	1	4	15	15	11	4	1	0	0	1	0	6	12	15	17	7	4
"133"	0	0	2	6	5	24	7	4	3	0	0	2	1	3	4	17	10	0	0	1	0	3	0	14	10	18	8	0	1	2	1	0	5	9	15	16	10	0	1	0	0	0	2	4	4	15	5	2	1	4
"134"	2	0	7	6	11	11	7	3	3	0	0	1	3	7	8	24	4	0	1	1	0	0	1	12	17	19	8	3	1	0	0	0	4	6	19	17	12	7	1	0	1	1	3	10	11	19	2	4	2	0
"135"	1	0	6	6	10	10	7	4	0	0	1	2	8	13	11	16	7	2	0	0	1	10	2	8	18	23	8	0	1	0	2	1	7	6	16	14	4	3	0	1	2	1	4	10	16	17	4	0	0	0
"136"	3	2	3	9	19	3	4	3	3	2	0	4	4	10	12	15	4	8	2	0	0	11	11	16	13	14	11	1	0	0	1	3	8	5	14	7	4	4	0	0	8	5	7	11	15	16	10	5	3	1
"137"	4	2	5	8	14	13	9	4	4	0	1	4	8	14	10	9	11	11	3	0	0	7	3	8	15	18	5	3	2	0	1	3	7	7	21	10	1	1	0	1	1	5	6	7	20	8	11	2	0	3
"138"	1	2	6	3	9	16	2	11	1	0	0	1	1	9	9	22	4	7	2	4	1	3	3	10	14	20	6	5	2	0	0	4	1	14	14	6	11	5	1	3	2	3	11	23	11	15	9	5	1	1
"139"	5	0	3	4	13	12	9	8	5	2	0	0	7	5	9	7	4	6	2	2	0	2	3	2	8	11	4	4	6	1	1	0	8	10	10	15	16	14	5	4	0	2	3	11	7	10	15	16	5	2
"140"	0	2	0	5	5	9	10	10	9	3	1	3	2	4	11	17	14	25	16	4	1	0	0	0	7	3	24	10	6	1	1	0	4	1	12	8	18	14	8	4	1	0	1	0	8	11	14	14	9	1
"141"	0	0	0	5	3	7	15	23	6	0	0	0	0	7	8	7	16	18	13	3	0	1	0	1	5	4	10	13	7	2	0	0	0	2	3	16	21	8	6	4	0	0	1	5	7	13	17	22	6	1
"142"	0	0	2	3	6	5	13	9	7	2	0	0	0	2	7	10	19	20	12	2	0	0	3	3	11	4	16	10	4	1	2	0	0	4	2	21	12	12	5	4	0	0	2	2	2	10	12	15	5	8
"143"	0	1	1	1	0	9	7	14	10	1	0	0	0	4	6	6	12	9	5	3	0	0	0	1	4	9	25	6	3	0	0	0	2	3	5	16	16	14	8	1	0	0	0	0	5	11	10	8	3	3
"144"	0	0	1	1	3	7	6	6	3	0	1	0	0	0	2	4	10	12	5	2	0	0	0	0	3	5	2	9	3	0	0	0	1	2	5	8	6	5	2	0	0	0	0	0	4	2	11	5	0	1
