Full species name	light	temp	cont	moist	react	nutr
Hieracium lachenalii	5	5		4	4	2
Hieracium murorum	4		3	5	5	4
Hieracium pilosella	7		3	4		2
Hieracium sabaudum	5	6	3	4	4	2
Hieracium umbellatum	6	6		4	4	2
Holcus lanatus	7	6	3	6		5
Humulus lupulus	7	6	3	8	6	8
Hylotelephium maximum	8	6	4	3	5	3
Hypericum montanum	5	6	4	4	7	3
Hypericum perforatum	7	6	5	4	6	4
Impatiens glandulifera	5	7	2	8	7	7
Impatiens noli-tangere	4	5	5	7	7	6
Impatiens parviflora	4	6	5	5		6
Iris pseudacorus	7	6	3	9		7
Juncus articulatus	8		3	9		2
Juncus effusus	8	5	3	7	3	4
Knautia arvensis	7	6	3	4		4
Knautia dipsacifolia	5	4	4	6	6	6
Koeleria pyramidata s.lat.						
Lactuca serriola	9	7	7	4		4
Lamium maculatum	5		4	6	7	8
Lapsana communis	5	6	3	5		7
Lathyrus vernus	4	6	4	5	8	4
Lilium martagon	4		5	5	7	5
Lunaria rediviva	4	5	4	6	7	8
Luzula luzuloides	4		4	5	3	4
Luzula pilosa	2		3	5	5	4
Lychnis viscaria	7	6	4	3	4	2
Lycopus europaeus	7	6	5	9	7	7
Lysimachia vulgaris	6			8		
Lythrum salicaria	7	5	5	8	6	
Melampyrum nemorosum	5	6	4	4	6	4
Melampyrum pratense			3		3	2
Melica nutans	4		3	4		3
Mentha longifolia	7	5	4	8	9	7
Mentha x verticillata	7	5		8	7	
Mercurialis perennis	2		3		8	7
Milium effusum	4		3	5	5	5
Moehringia trinervia	4	5	3	5	6	7
Mycelis muralis	4	6	2	5		6
Myosotis palustris agg.	7		5	8		5
Myosotis sylvatica	6		3	5		7
Myosoton aquaticum	7	5	3	8	7	8
Origanum vulgare	7		3	3	8	3
Oxalis acetosella	1		3	5	4	6
Paris quadrifolia	3		4	6	7	7
Persicaria amphibia	7	6		11	6	4
Persicaria hydropiper	7	6		8	5	8
Phalaris arundinacea	7	5		8	7	7
Pimpinella saxifraga ssp. saxifraga	7		5	3		2
Plantago lanceolata	6		3			
Poa angustifolia	7	6				3
Poa nemoralis	5		5	5	5	4
Poa palustris	7	5	5	9	8	7
Poa trivialis	6		3	7		7
Polygonatum multiflorum	2		5	5	6	5
Polygonatum odoratum	7	5	5	3	7	3
Polypodium vulgare	5	5	3	4	2	2
Prenanthes purpurea	4	4	4	5	5	5
Pulmonaria obscura	4	5	6	6	8	7
Ranunculus lanuginosus	3	6	4	6	7	7
Ranunculus repens	6			7		7
Rumex acetosella	8	5	3	3	2	2
Rumex aquaticus	7	6	7	8	7	8
Rumex conglomeratus	8	6	3	7		8
Rumex obtusifolius	7	5	3	6		9
Salvia glutinosa	4	5	4	6	7	7
Scrophularia nodosa	4	5	3	6	6	7
Scutellaria galericulata	7	6	5	9	7	6
Securigera varia	7	6	5	4	9	3
Senecio germanicus						
Senecio ovatus	7		4	5		8
Senecio viscosus	8	6	4	3		4
Silene nutans	7		5	3	7	3
Silene species						
Silene vulgaris	8			4	7	4
Solanum dulcamara	7	5		8		8
Solidago virgaurea	5			5		4
Stachys palustris	7	5		7	7	6
Stachys sylvatica	4		3	7	7	7
Stellaria graminea	6			5	4	3
Stellaria holostea	5	6	3	5	6	5
Stellaria media	6				7	8
Stellaria nemorum	4		4	7	5	7
Symphytum officinale	7	6	3	7		8
Taraxacum species						
Thymus pulegioides	8		4	4		1
Torilis japonica	6	6	3	5	8	8
Trifolium alpestre	7	6	4	3	6	3
Urtica dioica				6	7	9
Vaccinium myrtillus	5		5		2	3
Vaccinium vitis-idaea	5		5	4	2	1
Valeriana excelsa ssp. sambucifolia	7	6	5	8	6	5
Verbascum densiflorum	8	6	5	4	8	5
Verbascum nigrum	7	5	5	5	7	7
Verbascum species						
Veronica beccabunga	7		3	10	7	6
Veronica chamaedrys	6			5		
Veronica officinalis	6		3	4	3	4
Vicia dumetorum	6	6	4	5	8	4
Vicia species						
Vicia sylvatica	7		4	4	8	
Vincetoxicum hirundinaria	6	5	5	3	7	3
Viola collina	6	5	7	3	8	2
Viola reichenbachiana	4		4	5	7	6
Viola species						
Viola tricolor						
