	Adinform	Alnipter	Ardiquin	Ardisieb	Astrferr	Beileryt	Beiltsan	Bridbala	Cameheng	Castcarl	Castindi	Caststel	Cinnrigi	Cleyjapo	Crypchin	Cyclcham	Cycllong	Cyclpach	Daphglau	Decagrac	Dioseria	Elaesylv	Engeroxb	Euryhaya	Euryjapo	Evodmeli	Evodmerr	Ficufist	Ficurufi	Garcmult	Glocrubr	Gloczeyl	Gordaxil	Heliform	Ilexcoch	Ilexmats	Ilexrotu	Ilextrif	Ilexurai	Illiarbo	Lithamyg	Litsacut	Machobov	Machthun	Machzuih	Magnkach	Mallpani	Melisqui	Michcomp	Micrjapo	Myrssequ	Neolbuis	Neolhiir	Neonreti	Osmamarg	Pasabrev	Pasaform	Pithluci	Podoform	Podophil	Prunphae	Sapidisc	Sauroldh	Scheocto	Schisupe	Sloaform	Sympglom	Sympshil	Symptheo	Syzybuxi	Syzyeuph	Syzykusu	Terngymn	Tricdubi	Wendform	Antihiir	Ardicorn	Callremo	Callremo	Clercyrt	Euonacut	Lasicyan	Lasiobli	Melacand	Psycrubr	Rhapindi	Rhodsims	Taregrac	Wikstaiw
11	0.899999976	1.799999952	0	0	2.099999905	0.899999976	2.700000048	0	0	29.20000076	0	0	0	0	0	0	0.100000001	0	5.099999905	0	0.899999976	0	0.899999976	1.799999952	0	0	0	2.099999905	0	0	0	0	3.900000095	0.899999976	0	0	0	0	0.300000012	8.399999619	0	0.100000001	0	0.100000001	0	0.899999976	0	0	0	0	0	0	0	0	0	7.699999809	0	0	0	0	0	3.099999905	0	4.699999809	3.599999905	0	0	3.099999905	0	0	0.899999976	0	0	0.899999976	3.5	0.899999976	0.899999976	0	0	0	0	0	0	0	2.599999905	0	0	0	0
12	2.700000048	21.79999924	1.100000024	0	5.900000095	0.100000001	0.899999976	0	0	0	0	8.800000191	1.700000048	0.899999976	0.899999976	0	0	0	4.800000191	0	0.899999976	0	0	0.100000001	0.899999976	0	0	3.099999905	0	0	4.699999809	0	0	3.900000095	5.5	0	0	0	1.899999976	0.899999976	0	0.100000001	0	0	1.700000048	0	0	0	0	0	0	0	0	0	0.899999976	0	0	0	0	0	0.899999976	0	0	8.300000191	0	0	0	0.899999976	0	0.100000001	0.5	0	0	0.899999976	1.399999976	0	0	0.899999976	0.899999976	0	0	0	0.899999976	0	1.899999976	0	0	0	0
13	0	0	1.899999976	0	5.800000191	0	5.400000095	0	0	0	0	0	0	0	0	0	0	7.699999809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.900000095	13.10000038	0	0.200000003	0	2.299999952	0	0	0	0	0	0	0	0	0	0	0	0	0	0.200000003	0	0	0	0	11.19999981	0	0	0	0	0	26.5	2.700000048	2.700000048	0	0	0	0	0	0	0	0	4.800000191	0	0	0	0	1.899999976	0	1.899999976	0	0	3.900000095	0	0	0	0
14	0.899999976	0	0.100000001	0	0	0.100000001	0.699999988	0	0	0	0	2.700000048	0	0	0	0	0	0	5.699999809	0	1.100000024	0.300000012	0	0	0	0	2.099999905	0	0	0.100000001	0	2.900000095	0	1.399999976	0.200000003	0	0	0	1.600000024	0	0	2.700000048	0	2.099999905	0	0	0	0	0	0.100000001	0	0	0	0	0.100000001	0	0	17.10000038	0	0	2.099999905	0	0	1.100000024	0	0.100000001	0	0	2.400000095	0	0	0	0	0	0	0.100000001	0	0.100000001	0	0	0	0.100000001	0.100000001	0	14.10000038	0	0	0	0
15	0	0	0	1.799999952	1.799999952	1.899999976	1.799999952	0	0	10.60000038	0	1.899999976	0	0	0	0	6.099999905	1.799999952	12.10000038	0	5.800000191	0	0	0	0	0	0	0	0	0	0	0	0	1.799999952	1.799999952	0	0	0	0	0	0	0	0	1.799999952	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	0	1.899999976	7.699999809	0	3.5	0	2.299999952	0	0	0.200000003	0	0	0	0	2.099999905	4.300000191	0	0	0	0	0	0	0	0	0	1.799999952	0	0	0	0
16	2.299999952	0	0	0	2.5	0	0.100000001	0	0	3.099999905	0	0	0	0	0	0	4.5	0	0.100000001	0	0.100000001	0	0	0	1.5	0	0	0	0	0	0	0	0	0	19.79999924	0	0	0	0.100000001	0	0	0	0	4.099999905	0	0	0.100000001	0	0	0	0	0	0	0	0	14.89999962	0	5.300000191	0	0	5.199999809	0	0	0	0	0	2.599999905	0	3.5	0	13.30000019	0	0	3.400000095	0	0	1.899999976	0.100000001	0	2.299999952	0	0	0	0.100000001	2.900000095	0	0	0	0
17	2.599999905	0	0	0	1.899999976	0	0.899999976	0	0	11.10000038	0	1.100000024	0	0	0	0	14.10000038	0	5.599999905	0	4.699999809	0	0	0	3.200000048	0	0	0	0	0	2.099999905	0	0	0.899999976	8.600000381	1.5	0	0	0	0	0	0.400000006	0	2.200000048	0	0	0	0	0	0	0	0	1.899999976	0	0	1.600000024	0	8.800000191	0	0	0	0.800000012	0	0	0	0	0	0	1.899999976	0	0	0	0	1.899999976	0	0	0	0	0.899999976	0.800000012	0	0	0	1.799999952	0.800000012	0	0	0	0
18	4.800000191	0	6.599999905	0	0	0.200000003	1.200000048	0	0	13.69999981	0	0	0	0	0	0	0	0	0	0.100000001	1.899999976	0	6.699999809	0	6.699999809	0	0	1.200000048	0	0	0	0	0	0	4.599999905	0	0	0	0	0.200000003	0.5	3.900000095	0	8.399999619	0	0	0	0	0	0.899999976	0	0	0.400000006	0	0	0	0	2.599999905	0	0	1.799999952	0	0	0.400000006	0	0	0	0	3.900000095	0	0	1.899999976	0	0	2.099999905	0.100000001	0	0	0	0	0	0	0	0	8.199999809	0	0	0	0
19	0	0	1.100000024	0	0	0	8.600000381	0	0	40.5	0	1.399999976	0	0	0	0	0	0	2.200000048	0	1.299999952	0	0	0	0	0	0	0	0	0	0	1.100000024	0	0	9.800000191	1.399999976	0	0	0	1.200000048	0	2.200000048	0	1.100000024	0	0	0	0	1.100000024	1.700000048	0	0	5.900000095	0	0	4.199999809	0	0	0	0	1.100000024	0	0	0	0	2.5	0	0	0	0	0	5.5	0	0	0	0	0	0	1.100000024	0	0	0	1.100000024	0	4.300000191	0	0	0	0
20	0	0	2.299999952	0	0	5.5	4.300000191	0	0	13.19999981	0	1.399999976	0.800000012	0	0	0	15.19999981	0	3.099999905	0	2.599999905	0	0	0	3.799999952	0	0.899999976	0	0	0	0	0	0	0	0.699999988	0	0	0	0.800000012	0.100000001	0	4.800000191	0	1.5	0	0.5	0.699999988	0	1.200000048	0	0	0	2.200000048	0	0.899999976	0	0	0	0	0	0	2.200000048	0	0	0	0.800000012	0	0	0	0	0	0.200000003	0	2.400000095	0	3.099999905	0	0	0	2.200000048	0	0	0	0	6.099999905	0	0	0	0
