"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"	"V76"	"V77"	"V78"	"V79"	"V80"	"V81"	"V82"	"V83"	"V84"	"V85"	"V86"	"V87"	"V88"	"V89"	"V90"	"V91"	"V92"	"V93"	"V94"	"V95"	"V96"	"V97"	"V98"	"V99"	"V100"
"1"	7.905664279397	7.57043866604373	8.66219048308472	9.14423985385981	8.79952830188679	9.19988447665687	9.65196938114873	9.87875720481418	9.95220108194068	9.88080490544085	9.81988056472267	9.86638564165915	9.88345648125952	9.92773820793108	9.91462447717767	9.97937675269331	9.88766876822748	9.71644998176276	9.90915574889789	9.92537944998864	9.96348692403487	9.9387641503784	9.935808444153	9.9127349738631	9.86652454078463	9.86748458400719	9.95743940050236	9.82524653345063	9.86255768703844	9.85436720284546	9.42324380613466	9.12235962203968	8.96805638323474	8.50374938040447	8.49890511990217	9.26453281671364	9.50684116520236	9.60149439601494	9.74691752289431	9.77083354918633	9.52036934171964	9.41749932901852	9.25326797385621	9.59258010705967	9.72453423770084	9.6235852447812	9.63821516942097	9.85820083438419	9.96604331436174	9.91916156574454	9.91813511233801	9.98789230998066	9.96280011813405	9.88332076626939	9.79794222108709	9.6453866263071	9.19010216254481	9.50649859943978	9.78473895582329	8.81722355945284	7.9566593193882	6.94553742797185	6.41845903475605	4.89437146723987	5.90172594680634	4.80494852628978	3.80629737447638	3.79230559602828	2.6816591659064	2.77597499540357	3.49023396770281	4.2639769954688	2.40801513587891	2.61662436079821	2.84864864864865	3.84065898830152	3.26157784809724	3.74848143098408	4.42712490761271	4.86990391722099	5.38271821339306	6.04052656228432	6.07370024398745	5.88683866645503	6.5526107834894	6.38369819531374	6.19770103066224	6.03870614104304	5.10965375753559	4.33490585447886	4.28891524693176	4.64557419817753	5.30516927572243	5.60264017512572	5.54801814658974	4.98626187219006	5.39724719890736	5.93465196120076	5.79819748109199	6.29380499661938
"2"	7.83736150511035	7.12488274128468	7.97741957842606	8.4832119330787	8.96367924528302	9.71497892852645	9.87839343708775	9.92047822908393	9.9704238431821	9.93977808573054	9.80649144338376	9.77161220786616	9.7494135897889	9.91331725638692	9.98464448081469	9.87458849259204	9.83060525075234	9.84275039734511	9.76220387724014	9.94911528975993	9.82478206724782	9.73211492223512	9.68888566142972	9.68550157873284	9.64660174718735	9.69050456718241	9.77234062981094	9.6410855317026	9.71618805335501	9.54327440675267	9.20769943480113	8.87362072370608	8.79491232362234	8.38758638854064	8.36123133962312	9.12588346443412	9.32242980261329	9.38678289746783	9.5102970496513	9.5135778017804	9.1569326383395	8.79552955768826	9.36358789129687	9.86389958373637	9.9466689618481	9.82636355862211	9.91471026088022	9.98109094504489	9.86836836096944	9.93448986042269	9.95534084809447	9.89006784417946	9.82613806975557	9.5465878706385	9.36344102503523	9.23930733548235	8.80224140524057	9.0859943977591	8.9131669535284	8.09225019839838	7.70804358347241	6.76455548832368	4.71045440328609	3.94804553777565	4.80947701332149	2.88414874316402	3.19699312772235	2.55443554044574	3.5307325711258	4.73106453392168	3.00795256727759	2.13696409898919	3.55347437220502	3.93124486527413	3.72702702702703	3.53132404531769	3.7941939594443	4.22526571918583	4.63589061345159	4.98926829268293	5.47657811630426	6.23511974719489	6.16387521784594	6.27986245643629	7.16830035519162	6.756221244483	6.18131866445292	5.8020812423066	5.32547780618418	4.66852474077738	4.84882239331293	5.0898269708913	5.62124654841963	5.7057152030189	5.60584612002734	5.51755961232697	5.51197463320508	5.9423532413686	5.77290917806375	6.1409672608567
"3"	7.57976278918214	7.67768267911625	7.79349626801236	7.79302878944657	8.70595065312046	9.39823023934745	9.55362209876076	9.61553564210236	9.78692683081677	9.91592703851416	9.89260842408625	9.81728976613949	9.75441656296234	9.85440094587126	9.86509547190398	9.78553073798745	9.92352937329528	9.92111220251088	9.67136815373721	9.75098148158583	9.65870485678705	9.57759638609425	9.6112129164295	9.63826968626324	9.51494454291078	9.53745542984499	9.68895196277495	9.52442217829927	9.59513628191722	9.33568880394967	8.98796391288171	8.68090994711295	8.71917349086495	8.22234755627134	8.2294961736102	8.94405267862787	8.9462513281616	9.06099626400996	9.06233998281991	9.10381584412172	9.04505088080557	8.74792892110034	9.69642242862057	9.94817875167218	9.92136781995556	9.95990017226469	9.8937133116252	9.81872794238174	9.69024181251249	9.7445935094737	9.65755693581781	9.6398247846895	9.51145206040368	9.03972056734529	8.86289517050653	8.87802677097256	8.59742515665106	8.65316526610644	8.1162363740677	7.77997652012514	8.13558500731259	7.19794860337138	4.48180300691177	2.91686967598121	2.94978238679321	3.69974176926639	6.23322158895338	5.56833036533376	5.87548335655088	5.37691266776981	4.0328385572259	3.9364935517602	5.10586515307878	4.82883965196409	4.91081081081081	3.5679118461358	4.1835477242798	4.48438957060378	4.76694752402069	5.10617886178862	5.63727376095119	6.35223535218088	6.35494434762403	6.62423263544268	7.31284787013517	6.77537446723541	6.25951004062366	5.79247588086145	5.53991120369494	4.93362409235251	5.40094550207026	5.5079289844796	5.87694776474228	5.8792380725168	5.83452592738491	5.84297587835105	5.76677566283631	5.87695467303929	5.86327897230998	6.28416461540809
"4"	7.39952725577034	8.93934441853745	9.27939806888048	9.11939738463569	8.80805515239478	9.47403926217708	9.58018912174494	9.48057280051283	9.616429475369	9.75751283703605	9.87169066147505	9.9560674193034	9.93632338747362	9.744062286962	9.78484088016003	9.95367697190252	9.95806094609272	9.92154230851367	9.7270712956128	9.50539252313628	9.47988376919884	9.46431423048183	9.63326507874073	9.53654947791934	9.31681488233322	9.42519373741946	9.45647479867528	9.29601669580053	9.41365743455217	9.15699554069119	8.848609153121	8.58985620556976	8.47276130175432	8.0624340838834	8.15335945435112	8.70860627291795	8.71965511594517	8.72432544624325	8.81204094762678	8.90336886461325	8.77032679298498	8.600900989623	9.56532507739938	9.50465825846561	9.70492138342409	9.72783449693099	9.42816668421222	9.31104349827663	9.49300149929415	9.59810480497507	9.4962962962963	9.46835618693552	9.17157237710647	8.47327520663336	8.33738243150855	8.50673008884346	8.5977278752403	8.67918767507003	8.42423981640849	7.7545130549416	6.52667878374871	4.86017987061848	3.11844063059482	3.73481410715707	4.60429780378758	4.72880950402173	6.59208068113208	7.19207652042523	6.10752288839471	5.07173083287369	4.97843038162118	5.49600906239108	5.4046267629859	5.64442610085131	5.47027027027027	3.52699585945224	3.93194295559046	4.29972319944041	4.65772357723577	5.10863266814486	5.73159149318125	6.5676611528509	6.50317090740095	6.67715446147754	6.95561935780845	6.52837330358803	6.60900261028991	6.34720701953729	5.40040673757746	5.28764199286301	5.61580943070085	5.77201703348541	6.07103201063395	6.04299536710451	5.93722123284903	5.92293920110759	5.8433265968692	5.93469326789986	6.44265175100303	6.845021762709
"5"	8.36461970262201	9.70438691929808	9.85865189936031	9.57477455150888	9.17191582002903	9.19010024006514	9.37315659829484	9.43633878032679	9.54326366131708	9.48321351117214	9.60171111017766	9.75130134713528	9.62549403088173	9.46630604807327	9.63111111111111	9.67727174984094	9.59326823777854	9.83846671277949	9.77952639893011	9.20548951988114	9.04189290161893	9.34066147370886	9.49368885394317	9.323779191531	9.08957014929054	9.14095092371407	9.1780257480279	9.22155441558986	9.24092573128986	9.18576843446409	8.81741768901185	8.51382131539798	8.48197811558612	8.05745398963649	8.06858557602145	8.6087876316636	8.48229140722291	8.39676214196762	8.52584312886771	8.5262946589608	8.2613113239483	8.73700396953892	9.14552803577571	9.34440352220892	9.76615774866286	9.54693012345642	9.23392962199871	9.19734103914465	9.39287255817179	9.52469186929995	9.34244306418219	9.13281398168894	8.70502684490318	8.07018136161844	7.99126579046065	8.28539566789842	8.4612908731468	8.32056022408964	8.27707974756168	8.74883923281586	7.62964002159659	3.5317230673618	3.22959817452907	4.92217180160815	6.36575407552545	5.97479984644671	6.46715816913314	7.33629512708435	6.05416681774002	5.50281963596249	5.82486187872573	5.75723248518648	5.52010663914689	6.00778371259364	5.93783783783784	3.919869356289	4.33530610860289	4.87786773795964	5.00959349593496	5.41308203991131	6.05816492863705	6.72686373655508	6.37366376205414	6.6733054188753	6.53365877914913	6.591129839637	6.77443495740883	6.46587212911235	5.4829290155604	5.38514015221562	5.74170639500845	5.8378187071933	6.03845203198831	6.0118893351493	5.9294767939949	5.96269607592625	5.88143902025207	6.43672629549842	6.89954854442725	7.20010395684551
"6"	9.79371315192744	9.98845207043148	9.88746133553816	9.70198822191847	9.45210449927431	9.19394440396381	9.14185453553497	9.1997412149736	9.28809543562724	9.27611992191385	9.48880176325163	9.62616198881329	9.53962448614809	9.21881797372504	9.3595199127114	9.13515259262632	9.20722302969228	9.52567342295096	9.5291926016503	9.03824049708014	9.0128601079286	9.32081961283517	9.03331462121955	8.83278354736856	8.80481371034259	9.18094201050247	9.6884895213656	9.73951702522269	9.71809518462787	9.63360487338748	9.06608314387824	8.63435485039484	8.48045205244494	8.02185261512615	8.09691675715503	8.65104407971287	8.45122396517646	8.24924865089249	8.073389404374	7.94706751506278	8.21956185089801	8.63699707966029	9.09081527347781	9.43343712419906	9.64502715843723	9.36547175475531	9.13703314478119	9.04680150874243	9.16344697125243	9.25124930310695	9.01490683229814	8.74335298440053	8.28573011900476	7.74797963681061	7.91472418333612	8.29821035458762	8.0993846555087	7.69327731092437	7.23534136546185	7.77952817257052	6.17896897945051	2.867609551246	4.12136438082208	5.54565719289865	6.49189174662044	6.169406869305	6.82833975999853	7.17462900005396	6.1015874999195	6.02432505975363	6.0511177365559	5.83377483443709	5.69872721018232	6.31643237945078	6.09189189189189	4.41844458556645	4.41796079971521	4.99133371112869	5.12613451589061	5.49837398373984	6.03280122200723	6.37890740339045	6.32289159986058	6.30439918765277	6.21327238393332	6.46920328024622	6.50876885264363	6.52804048438174	5.79259055855401	5.37616700026988	5.70368675033008	5.82741671530612	6.01157496169019	5.92029243499874	5.92722222438474	5.95831207657751	5.98241402329281	6.47907840179779	6.7595736484762	7.29681167216017
"7"	9.89317729799642	9.95174393217198	9.95414770313249	9.87665887422661	9.74227140783744	9.62050537573303	9.38561379911492	9.16131399501714	8.98612837068059	9.0235104984697	9.14975061592661	9.37757073309588	9.39903834580114	9.12101998379379	8.84376795781051	8.84026055916688	8.77507423692305	9.04918892177262	9.16937814267387	8.65822036142745	9.11326691573267	8.96418262417462	8.86304139219784	8.81632103593425	8.99783155478223	9.53701635294963	9.86481810902377	9.97447043007682	9.95824993636906	9.61265328874025	9.03796007981766	8.74749789354905	8.55472338673471	8.03127777186488	8.11306421480973	8.66569379140937	8.46219139998705	8.26017434620174	8.01510633991685	7.68593428513413	8.04517310321481	8.36942603212159	9.10646714826281	9.10803527882197	9.23023641034897	9.07035476885281	8.76541453946879	8.698329753115	8.88318208074288	8.85944455399884	8.81881757533931	8.47615450937861	8.01483893058095	7.62966652773056	7.88927381853936	8.15839020363236	7.75228549125356	7.58442577030812	7.37808376362593	6.40153515531915	4.54931778151197	2.98257339123045	4.77109383425932	5.94209059788233	6.34381811663541	6.52726488565198	7.11787570870896	7.00406508013599	6.43395700132064	6.42750358521787	6.18607664012458	5.89714186127571	5.98981768145855	6.60383507436219	6.21621621621622	4.97018147160358	4.8720020901993	5.13540185643402	5.17954175905395	5.67871396895787	6.11422361659758	6.52374574659454	6.3303645869641	5.86801578726876	6.08417709519154	6.09827050326028	6.34545359535019	6.46964933876211	6.31213247903713	5.62228199061428	5.799279640541	5.85637478047947	5.93807008811018	5.94562132688265	5.93352674672887	6.00261108488417	6.18124490613517	6.4217408337585	6.64299665585558	7.22204940393184
"8"	9.94639733077982	9.94976393201928	9.9732597277172	9.98483395289619	9.96400580551524	9.94986109638729	9.53369347783315	8.96661776337938	8.90573152432917	8.8930353743835	8.71535460753284	8.86662186167953	9.14035323367087	9.10009733404488	8.42375704673577	8.6808303260057	8.07404575933859	8.37073986321123	8.57896647000595	8.44155716966354	8.75898713158987	8.91597458016204	9.27752412609147	9.15102581007496	9.16541145713396	9.54952009027754	9.81286106540701	9.89434559240768	9.7562493204632	9.33585416998461	8.96152974870615	8.69552261320995	8.43795763789445	7.98447245440249	8.10599866562339	8.66764785815217	8.29240866627821	7.98904109589041	7.93974922338576	7.75782619653372	7.86913748571578	8.62013509302582	8.66582387340901	8.40871402672083	8.88643072014638	8.92778814830824	8.77012888174837	8.72263176207846	8.72683097762557	8.74518273327174	8.57319223985891	8.18688216534395	7.73694343450032	7.44106450346212	7.70473294974659	7.90807571349949	7.39098139327592	7.5278431372549	7.76110154905336	7.18722913428346	4.54364342301121	2.95055499880188	5.49283826987018	6.30042194092827	6.18710821129195	6.87974401376778	6.9933299411361	6.85115482165021	6.67014735614533	6.52963265306122	6.21600763069603	6.00785988149181	6.41998624011008	6.91392297066635	6.04864864864865	5.54477897578569	5.25264808292302	5.1972705220496	5.14558758314856	5.6349889135255	6.17830033923214	6.19209130059444	5.7583171836877	5.54911225452495	5.91816045924712	6.15993720435438	5.98827048058045	6.48466264768698	6.62056181548464	5.82834308655011	6.00789997882589	5.84851016856778	5.91632884663412	6.00616931208291	6.03621078506344	6.04239143520756	6.21548372390606	6.32503858407533	6.46504298113974	7.01014746465614
"9"	9.68433340315598	9.7373563335604	9.75515373584593	9.78178979147771	9.88080551523948	9.84363688077462	9.31792864219386	8.91855013552165	8.84688756465878	8.88309873641741	8.65083797675337	8.63157616962254	8.92725632752965	8.81394375536451	8.16232042189489	7.95192355126497	7.55304550414433	7.87092009819763	8.28208670727607	8.67114606049336	8.54389373183894	9.41531804026403	9.61863732196417	9.5419463587715	9.42674388569931	9.69325899342088	9.85965616262354	9.70663162985898	9.58579273035932	9.21475341084037	8.89688028541859	8.47843770313978	8.37428478102955	8.00770046638145	8.047543804892	8.54737636968441	8.23026540381825	7.95265255292653	7.79652846912295	7.32758567828178	7.86254074859589	8.3264031777526	8.26745786033712	8.57559920645641	9.4978118769912	9.24030508274887	8.91578757775816	8.90634305291693	8.91233463734511	8.71386869102402	8.26550111187792	7.97578775780259	7.73419698263994	7.33166241386644	7.19636728178181	7.32950015724507	6.86455846409582	7.36859943977591	7.21422834193918	6.40947371412706	4.06289596403379	3.08032486231458	4.31884549132716	5.04300613008518	5.54271937657607	6.40021318805699	6.43392194203297	6.69368220819168	6.75970749866257	6.64812208126494	6.29943180929183	6.1925409550366	6.66633986928105	6.89698001911091	6.14054054054054	6.04686187650582	5.49498467347375	5.21952453893069	5.22328159645233	5.61544715447154	5.92324189448756	5.87472924458643	5.58126641106076	5.59554443779722	5.94404381982464	5.64638036809816	5.83680455177944	6.66593651695441	6.61780113415186	5.8998343715615	6.12609449324053	5.8769818104576	6.03616893498241	6.11923083821913	6.14636495294239	6.09758419200575	6.02020868812058	6.27944099012596	6.37361031787398	6.72956441127999
"10"	9.61232626628364	9.34017839222443	9.34017779800643	9.59029113067028	9.81070391872279	9.65138334301351	9.19294756007374	8.93761217959119	8.7320125568194	8.52877913159403	8.333027181129	8.63834086188717	8.80879026053033	8.78066030359582	8.18110201854883	7.54304855110686	7.3995337275978	7.96402333611144	8.4786095129689	9.41447422843072	9.16431714404317	9.65861203371272	9.67439211930349	9.57462449449557	9.53855629746951	9.75003979818571	9.78016062169874	9.60273713635031	9.51492001940942	9.07273769708552	8.59718445530034	8.33577377957343	8.37969474925642	8.02745667973945	7.92496030815376	8.30856922996859	8.19367699871659	7.99624740556247	7.54637208923002	7.50402397418637	8.33365146694945	8.09123028390771	8.11811145510836	8.79469394281689	9.38452422118863	8.95147951453842	8.73871383905828	8.72019427820793	8.66102975866201	8.40640544238528	8.09678705620735	8.13978778789287	8.22731822182373	7.99457397074672	7.41996701557897	6.3715655711927	6.6838932334954	7.10711484593838	6.23904188181297	4.60482050138496	3.20128818895349	4.85559352148118	5.86004409603136	4.49473768012101	5.11560988744354	5.8295659971042	6.10402351993917	6.62619394528088	6.7000624442159	6.68079132193418	6.52245767641357	6.49330777274312	6.9203474372205	6.86515829330047	6.3972972972973	6.36210843592334	5.68876264158857	5.22938686805778	5.30583887657058	5.48866223207687	5.61695624418128	5.82439484968197	5.61009015917277	5.47367906180553	5.60473088758516	5.70936302355525	5.94171071709796	6.67303033172364	6.54411808646067	5.93500512742088	6.09889070851897	5.90135023752622	6.1924259544975	6.26887974728737	6.08408931408306	6.09548353687185	5.87369211002108	6.06585525370785	6.00823733588162	6.25282294263754
