Abbrev	Lat		Long		Elev	Precip
omofor	07 00	N	05 00	E	150	1800
curundu	08 59	N	79 33	W	20	1830
madden	09 06	N	79 36	W	50	2433
pipeline	09 10	N	79 45	W	300	3000
baitete	05 10	S	145 48	E	200	3375
varirata	09 30	S	147 30	E	740	1000
jejuimi	24 08	S	55 32	W	150	1800
allpahua	03 57	S	73 25	W	155	3100
humboldt	08 50	S	75 00	W	270	2500
cabezade	10 20	S	75 18	W	320	4000
cerroayp	04 35	S	79 32	W	2770	1800
amotape	04 09	S	80 37	W	820	NA
chirinos	05 25	S	78 53	W	1780	1400
chorrobl	06 10	S	78 45	W	2380	1400
cochacas	11 51	S	71 19	W	380	2000
constanc	04 15	S	72 45	W	160	3100
cutervo	06 10	S	78 40	W	2225	1400
cuzcoama	12 35	S	69 09	W	200	2350
elpargo	06 30	S	79 31	W	3000	1075
indiana	03 31	S	73 04	W	130	3100
jenarohe	04 55	S	73 45	W	130	2520
lagenoa	11 05	S	75 25	W	1140	2000
tahuampa	03 47	S	73 30	W	130	3100
mishnfl	03 47	S	73 30	W	130	3100
mishws	03 47	S	73 30	W	140	3100
cuyas	04 32	S	79 44	W	2410	700
candamo	13 30	S	69 50	W	790	6760
rioheath	12 50	S	68 50	W	200	2200
riotavar	13 21	S	69 40	W	400	6760
shiringa	10 20	S	75 10	W	300	5000
sucusari	03 15	S	72 55	W	140	3100
tambupl	12 49	S	69 43	W	280	2200
tamboall	12 50	S	69 17	W	260	2200
tamblat2	12 47	S	69 17	W	250	2200
tambo	12 47	S	69 17	W	260	2200
tarapoto	06 35	S	76 25	W	445	1400
vencer	05 45	S	77 40	W	1850	1300
yanamtah	03 28	S	72 50	W	125	3100
yanam1	03 26	S	72 51	W	140	3100
yanam2	03 26	S	72 51	W	140	3100
palanan	17 08	N	122 31	E	30	2400
luquillo	18 11	N	65 50	W	300	3500
mogote	18 25	N	66 15	W	50	1500
uppsala	59 51	N	17 38	E	20	500
kenting	21 55	N	120 50	E	200	2500
nanjensh	22 00	N	120 50	E	310	2500
pande	06 40	S	39 05	E	80	1000
pugu	06 50	S	39 05	E	175	1236
khaoyai	14 20	N	101 50	E	700	2300
sakaerat	14 30	N	102 00	E	400	1500
sakaera2	14 30	N	102 00	E	400	1500
matthies	25 43	N	80 16	W	15	1375
sanfelas	29 41	N	82 26	W	30	1375
ufhortic	29 40	N	82 20	W	50	1375
cedarblu	39 46	N	86 09	W	251	1000
nwbranch	39 02	N	77 02	W	20	1060
bablersp	38 32	N	90 40	W	150	930
cuivre	39 01	N	91 00	W	140	930
rockcree	37 30	N	90 15	W	285	1125
tysongla	38 30	N	90 31	W	150	932
tysonwoo	38 30	N	90 31	W	150	932
valleyvi	38 15	N	90 37	W	225	930
indianca	40 30	N	95 43	W	320	900
cary	46 50	N	73 45	W	210	1020
montgome	43 10	N	77 37	W	210	874
bankamp	40 03	N	81 02	W	250	875
heustobm	39 33	N	84 43	W	200	1000
heustomf	39 33	N	84 43	W	200	1000
timberli	45 17	N	121 45	W	2000	2200
jonesmil	40 05	N	79 21	W	500	1100
laurelri	39 57	N	79 22	W	670	1000
kanealle	41 40	N	78 48	W	500	1000
tidroute	41 42	N	79 24	W	310	1000
wildbasi	30 20	N	97 55	W	1600	750
burling	38 57	N	77 10	W	60	1053
potomac	38 05	N	76 34	W	33	875
blohmr	08 34	N	67 35	W	100	1400
uchire	10 09	N	65 26	W	150	1200
ceroneb1	00 50	N	66 11	W	140	3000
ceroneb2	00 50	N	66 11	W	140	3000
llano	08 56	N	67 25	W	100	1312
