Site ID	Agongrat	Agonplac	Agonretr	Agonsord	Agonsupe	Amarlitt	Amarluni	Badiobtu	Bembgrap	Bembrupi	Calaadve	Calaingr	Calofrig	Caracham	Dichcogn	Elapamer	Elaplapp	Harpfulv	Loripili	Miscarct	Nebrgyll	Notibore	Notidire	Patrfove	Patrsept	Platdece	Platmann	Pteradst	Pterbrev	Pterhaem	Pterpens	Pterpunc	Pterripa	Seriquad	Synuimpu	Trecapic	Trecchal
11	0	0	0	0	0	0	0	0	0	0	0.0378787878787879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.109848484848485	0	0.00378787878787879	0	0	0	0	0
12	0	0	0	0	0	0	0	0	0	0	0.125	0.0227272727272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0227272727272727	0	0.0303030303030303	0.00378787878787879	0.121212121212121	0	0.00378787878787879	0	0	0	0	0
13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00421940928270042	0	0.113924050632911	0	0.0126582278481013	0	0	0	0	0
14	0	0	0.00757575757575758	0	0	0	0	0	0	0	0.0151515151515152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0265151515151515	0	0.0416666666666667	0	0.147727272727273	0	0.0113636363636364	0	0	0	0	0
15	0	0	0.00378787878787879	0	0	0	0	0	0	0	0.0833333333333333	0.0151515151515152	0	0	0	0	0	0	0	0	0	0	0	0.00757575757575758	0	0.00757575757575758	0	0.0340909090909091	0.00378787878787879	0.0681818181818182	0	0.0113636363636364	0	0	0	0	0
16	0	0	0	0	0	0	0	0	0	0	0.204545454545455	0.0113636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0113636363636364	0.00757575757575758	0.162878787878788	0	0.0113636363636364	0	0	0	0	0
17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00766283524904215	0	0	0	0.0114942528735632	0	0	0	0	0
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00757575757575758	0.00757575757575758	0	0	0	0	0.0189393939393939	0	0	0	0	0
19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0651340996168582	0	0	0	0	0
20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00766283524904215	0	0	0	0	0	0	0	0	0.00383141762452107	0	0	0	0	0
21	0	0	0	0	0	0	0	0	0	0	0.0858369098712446	0.00858369098712446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00858369098712446	0	0.150214592274678	0	0.00429184549356223	0	0	0	0	0
22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0171673819742489	0	0	0	0	0
23	0.00383141762452107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0191570881226054	0	0	0	0.00383141762452107	0
24	0	0	0	0	0	0	0	0	0	0	0.048689138576779	0.00749063670411985	0	0.00749063670411985	0	0	0	0	0	0	0	0	0	0.00374531835205993	0	0.00374531835205993	0	0.0224719101123595	0	0.146067415730337	0	0.0112359550561798	0	0	0	0	0
25	0	0	0.0574712643678161	0	0	0	0	0	0	0	0.00766283524904215	0.0498084291187739	0	0.00383141762452107	0	0	0	0	0	0	0	0	0	0.0229885057471264	0	0.00383141762452107	0	0.0574712643678161	0.0114942528735632	0.0498084291187739	0	0.00383141762452107	0	0	0	0	0.00383141762452107
26	0	0	0	0	0	0	0	0	0	0	0.0275229357798165	0.0229357798165138	0	0	0	0	0	0	0	0	0	0	0	0.00458715596330275	0	0.0137614678899083	0	0.036697247706422	0.00917431192660551	0.137614678899083	0	0.00917431192660551	0	0	0	0	0
27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00757575757575758	0	0	0	0	0	0	0	0	0.0340909090909091	0	0	0	0	0
28	0.0114942528735632	0	0.00383141762452107	0.00383141762452107	0	0	0	0	0	0	0	0.00383141762452107	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0114942528735632	0	0.0153256704980843	0	0.00766283524904215	0	0.0153256704980843	0	0	0	0	0
29	0	0	0	0	0	0	0	0	0	0	0.00383141762452107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0153256704980843	0	0.0229885057471264	0	0	0	0	0
30	0	0.00531914893617021	0.0106382978723404	0	0	0	0	0	0	0	0	0.00531914893617021	0	0	0	0	0	0	0	0	0	0	0	0.00531914893617021	0	0.0106382978723404	0	0.0319148936170213	0	0.0106382978723404	0.00531914893617021	0	0.00531914893617021	0	0	0	0
31	0	0	0	0	0	0	0	0	0	0	0.0344827586206897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00766283524904215	0.00383141762452107	0.0344827586206897	0	0.0114942528735632	0	0	0	0	0.00383141762452107
32	0.00749063670411985	0	0.00374531835205993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00374531835205993	0	0	0	0	0	0	0.00374531835205993	0
33	0	0	0	0	0	0	0	0	0	0	0.0224719101123595	0.00374531835205993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0299625468164794	0.048689138576779	0	0.00374531835205993	0	0	0	0	0
34	0	0	0.00403225806451613	0	0	0	0	0	0	0	0.032258064516129	0.0161290322580645	0	0.0120967741935484	0	0	0	0	0	0	0	0	0	0.0120967741935484	0	0.0161290322580645	0	0.0161290322580645	0.032258064516129	0.0645161290322581	0	0	0	0	0	0.00806451612903226	0
35	0	0	0.00757575757575758	0	0	0	0	0	0	0	0.00757575757575758	0.0227272727272727	0	0.0189393939393939	0	0	0	0	0	0	0	0	0	0.00378787878787879	0	0.0227272727272727	0	0.0833333333333333	0.00378787878787879	0.053030303030303	0	0	0	0	0	0	0
36	0	0	0.00628930817610063	0	0	0	0	0	0	0	0.0125786163522013	0	0	0.00628930817610063	0	0	0	0	0	0	0	0	0	0.00628930817610063	0	0.00628930817610063	0.00628930817610063	0.0251572327044025	0	0.0691823899371069	0	0.00628930817610063	0	0	0	0	0
37	0.00383141762452107	0	0	0	0	0	0	0	0	0	0.0459770114942529	0.00383141762452107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00383141762452107	0.00383141762452107	0.00383141762452107	0.0421455938697318	0	0.00383141762452107	0	0	0	0	0.00383141762452107
38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0114942528735632	0	0.0306513409961686	0	0	0	0	0
39	0	0	0.00383141762452107	0	0	0.00383141762452107	0	0	0	0	0.0153256704980843	0.0229885057471264	0	0.0153256704980843	0	0	0	0	0	0	0	0	0	0	0	0.00766283524904215	0	0.0344827586206897	0.00766283524904215	0.0574712643678161	0	0.0191570881226054	0	0	0	0	0
