"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"
"29"	0	0	0	2	12	19	34	9	8	5	0	0	0	0	2	8	6	33	25	4	0	0	0	0	8	15	37	15	6	3	0	0	0	2	3	24	41	22	6	9	0	0	0	20	21	23	7	28	31	0
"30"	0	0	1	7	17	19	18	17	6	4	0	0	1	6	45	16	15	1	3	0	6	0	0	7	29	23	25	10	0	0	0	0	0	17	25	29	26	8	10	3	0	0	0	13	13	24	22	8	4	1
"31"	0	0	1	4	16	12	12	3	1	3	0	3	8	12	45	12	22	7	1	0	0	0	0	17	30	28	10	5	0	6	0	0	9	23	27	23	26	0	5	0	0	2	0	10	56	32	4	7	0	1
"32"	0	1	7	11	23	16	26	6	1	1	0	0	14	19	15	30	9	7	0	0	0	0	0	28	25	33	20	10	2	0	0	0	4	16	22	12	14	2	0	0	0	4	5	29	32	26	23	5	0	0
"33"	0	1	4	4	11	34	12	9	0	0	0	8	13	7	21	21	5	1	5	0	1	6	8	29	9	37	19	13	0	0	0	7	8	14	16	6	38	0	0	0	1	0	11	8	12	26	29	0	0	0
"34"	15	18	11	7	12	19	7	1	0	0	3	13	7	5	5	13	4	0	0	0	4	3	18	33	3	4	2	3	2	0	4	10	52	32	40	14	0	0	0	0	18	29	32	23	5	11	6	0	0	0
"35"	7	34	16	2	2	7	0	0	0	0	22	37	24	12	6	1	6	0	0	0	19	22	8	16	8	0	0	0	0	0	23	24	23	25	4	0	0	0	0	0	12	19	34	26	2	3	5	0	0	0
"36"	13	42	20	3	0	0	0	0	0	0	15	34	19	2	2	0	0	0	0	0	23	17	25	12	0	0	0	0	2	0	33	46	34	14	3	0	0	0	0	0	22	35	42	5	1	0	0	0	0	0
"37"	0	0	0	0	0	9	12	34	24	0	0	0	0	0	7	5	25	68	36	7	0	0	0	0	0	2	7	3	80	6	0	0	0	0	0	1	14	10	23	20	0	0	0	0	0	6	28	13	29	20
"38"	0	0	0	0	4	3	11	30	23	0	0	0	0	0	0	4	24	24	46	13	0	0	0	0	1	2	24	33	19	3	0	0	0	0	1	3	45	24	47	2	0	0	0	0	0	5	24	57	10	18
"39"	0	0	0	0	0	0	34	39	11	0	0	0	0	0	2	23	28	71	8	5	0	0	0	0	4	7	21	30	8	3	0	0	0	0	2	29	24	31	7	1	0	0	0	6	8	13	38	23	18	6
"40"	0	0	0	3	2	12	14	25	10	3	0	3	0	0	1	5	49	28	20	12	0	0	0	0	1	20	19	32	4	13	0	0	0	0	10	14	14	22	31	4	0	0	0	1	7	18	59	24	8	2
