p10	vegtype	relev	aspect	slope	elev	convex	row	column
135	3	13	15	33.69	318	-0.47 	5	15
136	3	16	5	21.8	321	-1.08 	5	16
137	3	20	35	33.69	325	-0.76 	5	17
138	3	25	35	21.8	330	0.49 	5	18
139	2	30	45	9.46	333	1.15 	5	19
140	2	26	135	18.43	330	0.06 	5	20
141	2	22	125	12.53	328	-0.54 	5	21
142	2	22	95	8.75	327	0.76 	5	22
143	1	19	135	18.43	325	1.07 	5	23
144	2	14	135	45	320	-0.66 	5	24
145	3	8	85	11.31	315	-1.41 	5	25
146	2	8	25	21.8	315	-0.06 	5	26
147	2	12	35	26.57	317	0.82 	5	27
148	2	9	75	21.8	316	0.53 	5	28
149	2	6	85	21.8	312	0.08 	5	29
150	1	6	85	15.95	309	-1.40 	5	30
151	3	26	45	6.71	335	0.33 	6	1
152	2	26	95	6.71	335	0.62 	6	2
153	1	24	155	15.95	333	0.98 	6	3
154	1	20	155	26.57	329	0.62 	6	4
155	1	16	155	18.43	326	-0.27 	6	5
156	2	14	75	11.31	323	-1.43 	6	6
157	2	13	35	26.57	323	-0.95 	6	7
158	2	13	45	21.8	322	0.59 	6	8
159	2	12	85	21.8	321	0.97 	6	9
160	2	9	95	21.8	318	0.79 	6	10
161	2	4	105	21.8	315	0.33 	6	11
162	4	0	105	18.43	312	-1.13 	6	12
163	3	4	5	33.69	313	-0.96 	6	13
164	3	10	5	33.69	318	0.58 	6	14
165	3	14	5	33.69	323	0.67 	6	15
166	3	18	5	33.69	327	0.43 	6	16
167	3	21	5	33.69	330	0.42 	6	17
168	3	24	5	15.95	333	0.74 	6	18
169	2	26	45	9.46	334	1.40 	6	19
170	2	26	105	26.57	332	0.15 	6	20
171	2	24	95	14.04	329	-0.24 	6	21
172	1	22	95	9.46	329	1.35 	6	22
173	1	19	125	26.57	326	0.77 	6	23
174	2	14	85	45	321	-1.53 	6	24
175	2	15	15	33.69	320	-1.05 	6	25
176	2	14	45	33.69	319	0.77 	6	26
177	2	16	35	33.69	322	1.07 	6	27
178	1	14	85	33.69	320	0.72 	6	28
179	1	10	65	33.69	318	0.20 	6	29
180	1	10	65	45	315	-1.27 	6	30
181	2	28	95	9.46	337	0.44 	7	1
182	1	26	135	11.31	335	0.83 	7	2
183	1	23	155	21.8	332	0.76 	7	3
184	1	19	155	26.57	328	-0.14 	7	4
185	2	16	155	14.04	324	-1.54 	7	5
186	3	16	5	18.43	325	-0.65 	7	6
187	2	15	45	14.04	326	1.19 	7	7
188	2	14	105	14.04	325	1.17 	7	8
189	2	12	105	18.43	323	0.70 	7	9
190	2	8	105	18.43	320	0.64 	7	10
191	3	4	115	21.8	317	0.42 	7	11
192	4	0	115	18.43	313	-1.30 	7	12
193	3	3	45	33.69	315	-0.35 	7	13
194	3	9	45	21.8	320	1.80 	7	14
195	3	13	45	26.57	324	1.52 	7	15
196	3	18	45	21.8	329	1.57 	7	16
197	3	21	45	18.43	332	1.52 	7	17
198	2	23	65	11.31	334	1.38 	7	18
199	2	26	135	8.13	335	1.77 	7	19
