	type_of_food
recipe_0267	Cookies
recipe_0268	Cookies
recipe_0269	Cookies
recipe_0270	Cookies
recipe_0271	Cookies
recipe_0272	Cookies
recipe_0273	Cookies
recipe_0274	Cookies
recipe_0275	Cookies
recipe_0276	Cookies
recipe_0277	Cookies
recipe_0278	Cookies
recipe_0279	Cookies
recipe_0280	Cookies
recipe_0281	Cookies
recipe_0282	Cookies
recipe_0283	Cookies
recipe_0284	Cookies
recipe_0285	Cookies
recipe_0286	Cookies
recipe_0287	Cookies
recipe_0288	Cookies
recipe_0289	Cookies
recipe_0290	Cookies
recipe_0291	Cookies
recipe_0292	Cookies
recipe_0293	Cookies
recipe_0294	Cookies
recipe_0295	Cookies
recipe_0296	Cookies
recipe_0297	Cookies
recipe_0298	Cookies
recipe_0299	Cookies
recipe_0300	Cookies
recipe_0301	Cookies
recipe_0302	Cookies
recipe_0303	Cookies
recipe_0304	Cookies
recipe_0305	Cookies
recipe_0306	Cookies
recipe_0307	Cookies
recipe_0308	Cookies
recipe_0309	Cookies
recipe_0310	Cookies
recipe_0311	Cookies
recipe_0312	Cookies
recipe_0313	Cookies
recipe_0314	Cookies
recipe_0315	Cookies
recipe_0316	Cookies
recipe_0317	Cookies
recipe_0318	Cookies
recipe_0319	Cookies
recipe_0320	Cookies
recipe_0321	Cookies
recipe_0322	Cookies
recipe_0323	Cookies
recipe_0324	Cookies
recipe_0325	Cookies
recipe_0326	Cookies
recipe_0327	Cookies
recipe_0328	Cookies
recipe_0329	Cookies
recipe_0330	Cookies
recipe_0331	Cookies
recipe_0332	Cookies
recipe_0333	Cookies
recipe_0334	Cookies
recipe_0335	Cookies
recipe_0336	Cookies
recipe_0337	Cookies
recipe_0338	Cookies
recipe_0339	Cookies
recipe_0340	Cookies
recipe_0341	Cookies
recipe_0342	Cookies
recipe_0343	Cookies
recipe_0344	Cookies
recipe_0345	Cookies
recipe_0346	Cookies
recipe_0347	Cookies
recipe_0348	Cookies
recipe_0349	Cookies
recipe_0350	Cookies
recipe_0351	Cookies
recipe_0352	Cookies
recipe_0353	Cookies
recipe_0354	Cookies
recipe_0355	Cookies
recipe_0356	Cookies
recipe_0357	Cookies
recipe_0358	Cookies
recipe_0359	Cookies
recipe_0360	Cookies
recipe_0361	Cookies
recipe_0362	Cookies
recipe_0363	Cookies
recipe_0364	Cookies
recipe_0365	Cookies
recipe_0366	Cookies
recipe_0367	Cookies
recipe_0368	Cookies
recipe_0369	Cookies
recipe_0370	Cookies
recipe_0371	Cookies
recipe_0372	Cookies
recipe_0373	Cookies
recipe_0374	Cookies
recipe_0375	Cookies
recipe_0376	Cookies
recipe_0377	Cookies
recipe_0378	Cookies
recipe_0379	Cookies
recipe_0380	Cookies
recipe_0381	Cookies
recipe_0382	Cookies
recipe_0383	Cookies
recipe_0384	Cookies
recipe_0385	Cookies
recipe_0386	Cookies
recipe_0387	Cookies
recipe_0388	Cookies
recipe_0389	Cookies
recipe_0390	Cookies
recipe_0391	Cookies
recipe_0392	Cookies
recipe_0393	Cookies
recipe_0394	Cookies
recipe_0395	Cookies
recipe_0396	Cookies
recipe_0397	Cookies
recipe_0398	Cookies
recipe_0399	Cookies
recipe_0400	Cookies
recipe_0401	Cookies
recipe_0402	Cookies
recipe_0403	Cookies
recipe_0404	Cookies
recipe_0405	Cookies
recipe_0406	Cookies
recipe_0407	Cookies
recipe_0408	Cookies
recipe_0409	Cookies
recipe_0410	Cookies
recipe_0411	Cookies
recipe_0412	Cookies
recipe_0413	Cookies
recipe_0414	Cookies
recipe_0415	Cookies
recipe_0416	Cookies
recipe_0417	Cookies
recipe_0418	Cookies
recipe_0419	Cookies
recipe_0420	Cookies
recipe_0421	Cookies
recipe_0422	Cookies
recipe_0423	Cookies
recipe_0424	Cookies
recipe_0425	Cookies
recipe_0426	Cookies
recipe_0427	Cookies
recipe_0428	Cookies
recipe_0429	Cookies
recipe_0430	Cookies
recipe_0431	Cookies
recipe_0432	Cookies
recipe_0433	Cookies
recipe_0434	Cookies
recipe_0435	Cookies
recipe_0436	Cookies
recipe_0437	Cookies
recipe_0438	Cookies
recipe_0439	Cookies
recipe_0440	Cookies
recipe_0441	Cookies
recipe_0442	Cookies
recipe_0443	Cookies
recipe_0444	Cookies
recipe_0445	Cookies
recipe_0446	Cookies
recipe_0447	Cookies
recipe_0448	Cookies
recipe_0449	Cookies
recipe_0450	Cookies
recipe_0451	Cookies
recipe_0452	Cookies
recipe_0453	Cookies
recipe_0454	Cookies
recipe_0455	Cookies
recipe_0456	Cookies
recipe_0457	Cookies
recipe_0458	Cookies
recipe_0459	Cookies
recipe_0460	Cookies
recipe_0461	Cookies
recipe_0462	Cookies
recipe_0463	Cookies
recipe_0464	Cookies
recipe_0465	Cookies
recipe_0466	Cookies
recipe_0467	Cookies
recipe_0468	Cookies
recipe_0469	Cookies
recipe_0470	Cookies
recipe_0471	Cookies
recipe_0472	Cookies
recipe_0473	Cookies
recipe_0474	Cookies
recipe_0475	Cookies
recipe_0476	Cookies
recipe_0477	Cookies
recipe_0478	Cookies
recipe_0479	Cookies
recipe_0480	Cookies
recipe_0481	Cookies
recipe_0482	Cookies
recipe_0483	Cookies
recipe_0484	Cookies
recipe_0485	Cookies
recipe_0486	Cookies
recipe_0487	Cookies
recipe_0488	Cookies
recipe_0489	Cookies
recipe_0490	Cookies
recipe_0491	Cookies
recipe_0492	Cookies
recipe_0493	Cookies
recipe_0494	Cookies
recipe_0495	Cookies
recipe_0496	Cookies
recipe_0497	Cookies
recipe_0498	Cookies
recipe_0499	Cookies
recipe_0500	Cookies
recipe_0501	Cookies
recipe_0502	Cookies
recipe_0503	Cookies
recipe_0504	Cookies
recipe_0505	Cookies
recipe_0506	Cookies
recipe_0507	Cookies
recipe_0508	Cookies
recipe_0509	Cookies
recipe_0510	Cookies
recipe_0511	Cookies
recipe_0512	Cookies
recipe_0513	Cookies
recipe_0514	Cookies
recipe_0515	Cookies
recipe_0516	Cookies
recipe_0517	Cookies
recipe_0518	Cookies
recipe_0519	Cookies
recipe_0520	Cookies
recipe_0521	Cookies
recipe_0522	Cookies
recipe_0523	Cookies
recipe_0524	Cookies
recipe_0525	Cookies
recipe_0526	Cookies
recipe_0527	Cookies
recipe_0528	Cookies
recipe_0529	Cookies
recipe_0530	Cookies
recipe_0531	Cookies
recipe_0532	Cookies
recipe_0533	Cookies
recipe_0534	Cookies
recipe_0535	Cookies
recipe_0536	Cookies
recipe_0537	Cookies
recipe_0538	Cookies
recipe_0539	Cookies
recipe_0540	Cookies
recipe_0541	Cookies
recipe_0542	Cookies
recipe_0543	Cookies
recipe_0544	Cookies
recipe_0545	Cookies
recipe_0546	Cookies
recipe_0547	Cookies
recipe_0548	Cookies
recipe_0549	Cookies
recipe_0550	Cookies
recipe_0551	Cookies
recipe_0552	Cookies
recipe_0553	Cookies
recipe_0554	Cookies
recipe_0555	Cookies
recipe_0556	Cookies
recipe_0557	Cookies
recipe_0558	Cookies
recipe_0559	Cookies
recipe_0560	Cookies
recipe_0561	Cookies
recipe_0562	Cookies
recipe_0563	Cookies
recipe_0564	Cookies
recipe_0565	Cookies
recipe_0566	Cookies
recipe_0567	Cookies
recipe_0568	Cookies
recipe_0569	Cookies
