	type_of_food
recipe_1165	Pastries
recipe_1166	Pastries
recipe_1167	Pastries
recipe_1168	Pastries
recipe_1169	Pastries
recipe_1170	Pastries
recipe_1171	Pastries
recipe_1172	Pastries
recipe_1173	Pastries
recipe_1174	Pastries
recipe_1175	Pastries
recipe_1176	Pastries
recipe_1177	Pastries
recipe_1178	Pastries
recipe_1179	Pastries
recipe_1180	Pastries
recipe_1181	Pastries
recipe_1182	Pastries
recipe_1183	Pastries
recipe_1184	Pastries
recipe_1185	Pastries
recipe_1186	Pastries
recipe_1187	Pastries
recipe_1188	Pastries
recipe_1189	Pastries
recipe_1190	Pastries
recipe_1191	Pastries
recipe_1192	Pastries
recipe_1193	Pastries
recipe_1194	Pastries
recipe_1195	Pastries
recipe_1196	Pastries
recipe_1197	Pastries
recipe_1198	Pastries
recipe_1199	Pastries
recipe_1200	Pastries
recipe_1201	Pastries
recipe_1202	Pastries
recipe_1203	Pastries
recipe_1204	Pastries
recipe_1205	Pastries
recipe_1206	Pastries
recipe_1207	Pastries
recipe_1208	Pastries
recipe_1209	Pastries
recipe_1210	Pastries
recipe_1211	Pastries
recipe_1212	Pastries
recipe_1213	Pastries
recipe_1214	Pastries
recipe_1215	Pastries
recipe_1216	Pastries
recipe_1217	Pastries
recipe_1218	Pastries
recipe_1219	Pastries
recipe_1220	Pastries
recipe_1221	Pastries
recipe_1222	Pastries
recipe_1223	Pastries
recipe_1224	Pastries
recipe_1225	Pastries
recipe_1226	Pastries
recipe_1227	Pastries
recipe_1228	Pastries
recipe_1229	Pastries
recipe_1230	Pastries
recipe_1231	Pastries
recipe_1232	Pastries
recipe_1233	Pastries
recipe_1234	Pastries
recipe_1235	Pastries
recipe_1236	Pastries
recipe_1237	Pastries
recipe_1238	Pastries
recipe_1239	Pastries
recipe_1240	Pastries
recipe_1241	Pastries
recipe_1242	Pastries
recipe_1243	Pastries
recipe_1244	Pastries
recipe_1245	Pastries
recipe_1246	Pastries
recipe_1247	Pastries
recipe_1248	Pastries
recipe_1249	Pastries
recipe_1250	Pastries
recipe_1251	Pastries
recipe_1252	Pastries
recipe_1253	Pastries
recipe_1254	Pastries
recipe_1255	Pastries
recipe_1256	Pastries
recipe_1257	Pastries
recipe_1258	Pastries
recipe_1259	Pastries
recipe_1260	Pastries
recipe_1261	Pastries
recipe_1262	Pastries
recipe_1263	Pastries
recipe_1264	Pastries
recipe_1265	Pastries
recipe_1266	Pastries
recipe_1267	Pastries
recipe_1268	Pastries
recipe_1269	Pastries
recipe_1270	Pastries
recipe_1271	Pastries
recipe_1272	Pastries
recipe_1273	Pastries
recipe_1274	Pastries
recipe_1275	Pastries
recipe_1276	Pastries
recipe_1277	Pastries
recipe_1278	Pastries
recipe_1279	Pastries
recipe_1280	Pastries
recipe_1281	Pastries
recipe_1282	Pastries
recipe_1283	Pastries
recipe_1284	Pastries
recipe_1285	Pastries
recipe_1286	Pastries
recipe_1287	Pastries
recipe_1288	Pastries
recipe_1289	Pastries
recipe_1290	Pastries
recipe_1291	Pastries
recipe_1292	Pastries
recipe_1293	Pastries
recipe_1294	Pastries
recipe_1295	Pastries
recipe_1296	Pastries
recipe_1297	Pastries
recipe_1298	Pastries
recipe_1299	Pastries
recipe_1300	Pastries
recipe_1301	Pastries
recipe_1302	Pastries
recipe_1303	Pastries
recipe_1304	Pastries
recipe_1305	Pastries
recipe_1306	Pastries
recipe_1307	Pastries
recipe_1308	Pastries
recipe_1309	Pastries
recipe_1310	Pastries
recipe_1311	Pastries
recipe_1312	Pastries
recipe_1313	Pastries
recipe_1314	Pastries
recipe_1315	Pastries
recipe_1316	Pastries
recipe_1317	Pastries
recipe_1318	Pastries
recipe_1319	Pastries
recipe_1320	Pastries
recipe_1321	Pastries
recipe_1322	Pastries
recipe_1323	Pastries
recipe_1324	Pastries
recipe_1325	Pastries
recipe_1326	Pastries
recipe_1327	Pastries
recipe_1328	Pastries
recipe_1329	Pastries
recipe_1330	Pastries
recipe_1331	Pastries
recipe_1332	Pastries
recipe_1333	Pastries
recipe_1334	Pastries
recipe_1335	Pastries
recipe_1336	Pastries
recipe_1337	Pastries
recipe_1338	Pastries
recipe_1339	Pastries
recipe_1340	Pastries
recipe_1341	Pastries
recipe_1342	Pastries
recipe_1343	Pastries
recipe_1344	Pastries
recipe_1345	Pastries
recipe_1346	Pastries
recipe_1347	Pastries
recipe_1348	Pastries
recipe_1349	Pastries
recipe_1350	Pastries
recipe_1351	Pastries
recipe_1352	Pastries
recipe_1353	Pastries
recipe_1354	Pastries
recipe_1355	Pastries
recipe_1356	Pastries
recipe_1357	Pastries
recipe_1358	Pastries
recipe_1359	Pastries
recipe_1360	Pastries
recipe_1361	Pastries
recipe_1362	Pastries
recipe_1363	Pastries
recipe_1364	Pastries
recipe_1365	Pastries
recipe_1366	Pastries
recipe_1367	Pastries
recipe_1368	Pastries
recipe_1369	Pastries
recipe_1370	Pastries
recipe_1371	Pastries
recipe_1372	Pastries
recipe_1373	Pastries
recipe_1374	Pastries
recipe_1375	Pastries
recipe_1376	Pastries
recipe_1377	Pastries
recipe_1378	Pastries
recipe_1379	Pastries
recipe_1380	Pastries
recipe_1381	Pastries
recipe_1382	Pastries
recipe_1383	Pastries
recipe_1384	Pastries
recipe_1385	Pastries
recipe_1386	Pastries
recipe_1387	Pastries
recipe_1388	Pastries
recipe_1389	Pastries
recipe_1390	Pastries
recipe_1391	Pastries
recipe_1392	Pastries
recipe_1393	Pastries
recipe_1394	Pastries
recipe_1395	Pastries
recipe_1396	Pastries
recipe_1397	Pastries
recipe_1398	Pastries
recipe_1399	Pastries
recipe_1400	Pastries
recipe_1401	Pastries
recipe_1402	Pastries
recipe_1403	Pastries
recipe_1404	Pastries
recipe_1405	Pastries
recipe_1406	Pastries
recipe_1407	Pastries
recipe_1408	Pastries
recipe_1409	Pastries
recipe_1410	Pastries
recipe_1411	Pastries
recipe_1412	Pastries
recipe_1413	Pastries
recipe_1414	Pastries
recipe_1415	Pastries
recipe_1416	Pastries
recipe_1417	Pastries
recipe_1418	Pastries
recipe_1419	Pastries
recipe_1420	Pastries
recipe_1421	Pastries
recipe_1422	Pastries
recipe_1423	Pastries
recipe_1424	Pastries
recipe_1425	Pastries
recipe_1426	Pastries
recipe_1427	Pastries
recipe_1428	Pastries
recipe_1429	Pastries
recipe_1430	Pastries
recipe_1431	Pastries
recipe_1432	Pastries
recipe_1433	Pastries
recipe_1434	Pastries
recipe_1435	Pastries
recipe_1436	Pastries
recipe_1437	Pastries
recipe_1438	Pastries
recipe_1439	Pastries
recipe_1440	Pastries
recipe_1441	Pastries
recipe_1442	Pastries
recipe_1443	Pastries
recipe_1444	Pastries
recipe_1445	Pastries
recipe_1446	Pastries
recipe_1447	Pastries
recipe_1448	Pastries
recipe_1449	Pastries
recipe_1450	Pastries
recipe_1451	Pastries
recipe_1452	Pastries
recipe_1453	Pastries
recipe_1454	Pastries
recipe_1455	Pastries
recipe_1456	Pastries
recipe_1457	Pastries
recipe_1458	Pastries
recipe_1459	Pastries
recipe_1460	Pastries
recipe_1461	Pastries
recipe_1462	Pastries
recipe_1463	Pastries
recipe_1464	Pastries
recipe_1465	Pastries
recipe_1466	Pastries
recipe_1467	Pastries
recipe_1468	Pastries
recipe_1469	Pastries
recipe_1470	Pastries
recipe_1471	Pastries
recipe_1472	Pastries
recipe_1473	Pastries
recipe_1474	Pastries
recipe_1475	Pastries
recipe_1476	Pastries
recipe_1477	Pastries
recipe_1478	Pastries
recipe_1479	Pastries
recipe_1480	Pastries
recipe_1481	Pastries
recipe_1482	Pastries
recipe_1483	Pastries
recipe_1484	Pastries
recipe_1485	Pastries
recipe_1486	Pastries
recipe_1487	Pastries
recipe_1488	Pastries
recipe_1489	Pastries
recipe_1490	Pastries
recipe_1491	Pastries
recipe_1492	Pizzas
recipe_1493	Pizzas
recipe_1494	Pizzas
recipe_1495	Pizzas
recipe_1496	Pizzas
recipe_1497	Pizzas
recipe_1498	Pizzas
recipe_1499	Pizzas
recipe_1500	Pizzas
recipe_1501	Pizzas
recipe_1502	Pizzas
recipe_1503	Pizzas
recipe_1504	Pizzas
recipe_1505	Pizzas
recipe_1506	Pizzas
recipe_1507	Pizzas
recipe_1508	Pizzas
recipe_1509	Pizzas
recipe_1510	Pizzas
recipe_1511	Pizzas
recipe_1512	Pizzas
recipe_1513	Pizzas
recipe_1514	Pizzas
recipe_1515	Pizzas
recipe_1516	Pizzas
recipe_1517	Pizzas
recipe_1518	Pizzas
recipe_1519	Pizzas
recipe_1520	Pizzas
recipe_1521	Pizzas
recipe_1522	Pizzas
recipe_1523	Pizzas
recipe_1524	Pizzas
recipe_1525	Pizzas
recipe_1526	Pizzas
recipe_1527	Pizzas
recipe_1528	Pizzas
recipe_1529	Pizzas
recipe_1530	Pizzas
recipe_1531	Pizzas
recipe_1532	Pizzas
recipe_1533	Pizzas
recipe_1534	Pizzas
recipe_1535	Pizzas
recipe_1536	Pizzas
recipe_1537	Pizzas
recipe_1538	Pizzas
recipe_1539	Pizzas
recipe_1540	Pizzas
recipe_1541	Pizzas
recipe_1542	Pizzas
recipe_1543	Pizzas
recipe_1544	Pizzas
recipe_1545	Pizzas
recipe_1546	Pizzas
recipe_1547	Pizzas
recipe_1548	Pizzas
recipe_1549	Pizzas
recipe_1550	Pizzas
recipe_1551	Pizzas
recipe_1552	Pizzas
recipe_1553	Pizzas
recipe_1554	Pizzas
recipe_1555	Pizzas
recipe_1556	Pizzas
recipe_1557	Pizzas
recipe_1558	Pizzas
recipe_1559	Pizzas
recipe_1560	Pizzas
recipe_1561	Pizzas
recipe_1562	Pizzas
recipe_1563	Pizzas
recipe_1564	Pizzas
recipe_1565	Pizzas
recipe_1566	Pizzas
recipe_1567	Pizzas
recipe_1568	Pizzas
recipe_1569	Pizzas
recipe_1570	Pizzas
recipe_1571	Pizzas
recipe_1572	Pizzas
recipe_1573	Pizzas
recipe_1574	Pizzas
recipe_1575	Pizzas
recipe_1576	Pizzas
recipe_1577	Pizzas
recipe_1578	Pizzas
recipe_1579	Pizzas
recipe_1580	Pizzas
recipe_1581	Pizzas
recipe_1582	Pizzas
recipe_1583	Pizzas
recipe_1584	Pizzas
recipe_1585	Pizzas
recipe_1586	Pizzas
recipe_1587	Pizzas
recipe_1588	Pizzas
recipe_1589	Pizzas
recipe_1590	Pizzas
recipe_1591	Pizzas
recipe_1592	Pizzas
recipe_1593	Pizzas
recipe_1594	Pizzas
recipe_1595	Pizzas
recipe_1596	Pizzas
recipe_1597	Pizzas
recipe_1598	Pizzas
recipe_1599	Pizzas
recipe_1600	Pizzas
recipe_1601	Pizzas
recipe_1602	Pizzas
recipe_1603	Pizzas
recipe_1604	Pizzas
recipe_1605	Pizzas
recipe_1606	Pizzas
recipe_1607	Pizzas
recipe_1608	Pizzas
recipe_1609	Pizzas
recipe_1610	Pizzas
recipe_1611	Pizzas
recipe_1612	Pizzas
recipe_1613	Pizzas
recipe_1614	Pizzas
recipe_1615	Pizzas
recipe_1616	Pizzas
recipe_1617	Pizzas
recipe_1618	Pizzas
recipe_1619	Pizzas
recipe_1620	Pizzas
recipe_1621	Pizzas
recipe_1622	Pizzas
recipe_1623	Pizzas
recipe_1624	Pizzas
recipe_1625	Pizzas
recipe_1626	Pizzas
recipe_1627	Pizzas
recipe_1628	Pizzas
recipe_1629	Pizzas
recipe_1630	Pizzas
recipe_1631	Pizzas
recipe_1632	Pizzas
recipe_1633	Pizzas
recipe_1634	Pizzas
recipe_1635	Pizzas
recipe_1636	Pizzas
recipe_1637	Pizzas
recipe_1638	Pizzas
recipe_1639	Pizzas
recipe_1640	Pizzas
recipe_1641	Pizzas
recipe_1642	Pizzas
recipe_1643	Pizzas
recipe_1644	Pizzas
recipe_1645	Pizzas
recipe_1646	Pizzas
recipe_1647	Pizzas
recipe_1648	Pizzas
recipe_1649	Pizzas
recipe_1650	Pizzas
recipe_1651	Pizzas
recipe_1652	Pizzas
recipe_1653	Pizzas
recipe_1654	Pizzas
recipe_1655	Pizzas
recipe_1656	Pizzas
recipe_1657	Pizzas
recipe_1658	Pizzas
recipe_1659	Pizzas
recipe_1660	Pizzas
recipe_1661	Pizzas
recipe_1662	Pizzas
recipe_1663	Pizzas
recipe_1664	Pizzas
recipe_1665	Pizzas
recipe_1666	Pizzas
recipe_1667	Pizzas
recipe_1668	Pizzas
recipe_1669	Pizzas
recipe_1670	Pizzas
recipe_1671	Pizzas
recipe_1672	Pizzas
recipe_1673	Pizzas
recipe_1674	Pizzas
recipe_1675	Pizzas
recipe_1676	Pizzas
recipe_1677	Pizzas
recipe_1678	Pizzas
recipe_1679	Pizzas
recipe_1680	Pizzas
recipe_1681	Pizzas
recipe_1682	Pizzas
recipe_1683	Pizzas
recipe_1684	Pizzas
recipe_1685	Pizzas
recipe_1686	Pizzas
recipe_1687	Pizzas
recipe_1688	Pizzas
recipe_1689	Pizzas
recipe_1690	Pizzas
recipe_1691	Pizzas
recipe_1692	Pizzas
recipe_1693	Pizzas
recipe_1694	Pizzas
recipe_1695	Pizzas
recipe_1696	Pizzas
recipe_1697	Pizzas
recipe_1698	Pizzas
recipe_1699	Pizzas
recipe_1700	Pizzas
recipe_1701	Pizzas
recipe_1702	Pizzas
recipe_1703	Pizzas
recipe_1704	Pizzas
recipe_1705	Pizzas
recipe_1706	Pizzas
recipe_1707	Pizzas
recipe_1708	Pizzas
recipe_1709	Pizzas
recipe_1710	Pizzas
recipe_1711	Pizzas
recipe_1712	Pizzas
recipe_1713	Pizzas
recipe_1714	Pizzas
recipe_1715	Pizzas
recipe_1716	Pizzas
recipe_1717	Pizzas
recipe_1718	Pizzas
recipe_1719	Pizzas
recipe_1720	Pizzas
recipe_1721	Pizzas
recipe_1722	Pizzas
recipe_1723	Pizzas
recipe_1724	Pizzas
recipe_1725	Pizzas
recipe_1726	Pizzas
recipe_1727	Pizzas
recipe_1728	Pizzas
recipe_1729	Pizzas
recipe_1730	Pizzas
recipe_1731	Pizzas
recipe_1732	Pizzas
recipe_1733	Pizzas
recipe_1734	Pizzas
recipe_1735	Pizzas
recipe_1736	Pizzas
recipe_1737	Pizzas
recipe_1738	Pizzas
recipe_1739	Pizzas
recipe_1740	Pizzas
recipe_1741	Pizzas
recipe_1742	Pizzas
recipe_1743	Pizzas
recipe_1744	Pizzas
recipe_1745	Pizzas
recipe_1746	Pizzas
recipe_1747	Pizzas
recipe_1748	Pizzas
recipe_1749	Pizzas
recipe_1750	Pizzas
recipe_1751	Pizzas
recipe_1752	Pizzas
recipe_1753	Pizzas
recipe_1754	Pizzas
recipe_1755	Pizzas
recipe_1756	Pizzas
recipe_1757	Pizzas
recipe_1758	Pizzas
recipe_1759	Pizzas
recipe_1760	Pizzas
recipe_1761	Pizzas
recipe_1762	Pizzas
recipe_1763	Pizzas
recipe_1764	Pizzas
recipe_1765	Pizzas
recipe_1766	Pizzas
recipe_1767	Pizzas
recipe_1768	Pizzas
recipe_1769	Pizzas
recipe_1770	Pizzas
recipe_1771	Pizzas
recipe_1772	Pizzas
recipe_1773	Pizzas
recipe_1774	Pizzas
recipe_1775	Pizzas
recipe_1776	Pizzas
recipe_1777	Pizzas
recipe_1778	Pizzas
recipe_1779	Pizzas
recipe_1780	Pizzas
recipe_1781	Pizzas
recipe_1782	Pizzas
recipe_1783	Pizzas
recipe_1784	Pizzas
recipe_1785	Pizzas
recipe_1786	Pizzas
recipe_1787	Pizzas
recipe_1788	Pizzas
recipe_1789	Pizzas
recipe_1790	Pizzas
recipe_1791	Pizzas
recipe_1792	Pizzas
recipe_1793	Pizzas
recipe_1794	Pizzas
recipe_1795	Pizzas
recipe_1796	Pizzas
recipe_1797	Pizzas
recipe_1798	Pizzas
recipe_1799	Pizzas
recipe_1800	Pizzas
recipe_1801	Pizzas
recipe_1802	Pizzas
recipe_1803	Pizzas
recipe_1804	Pizzas
recipe_1805	Pizzas
recipe_1806	Pizzas
recipe_1807	Pizzas
recipe_1808	Pizzas
recipe_1809	Pizzas
recipe_1810	Pizzas
recipe_1811	Pizzas
recipe_1812	Pizzas
recipe_1813	Pizzas
recipe_1814	Pizzas
recipe_1815	Pizzas
recipe_1816	Pizzas
recipe_1817	Pizzas
recipe_1818	Pizzas
recipe_1819	Pizzas
recipe_1820	Pizzas
recipe_1821	Pizzas
recipe_1822	Pizzas
recipe_1823	Pizzas
recipe_1824	Pizzas
recipe_1825	Pizzas
recipe_1826	Pizzas
recipe_1827	Pizzas
recipe_1828	Pizzas
recipe_1829	Pizzas
recipe_1830	Pizzas
recipe_1831	Pizzas
recipe_1832	Pizzas
recipe_1833	Pizzas
recipe_1834	Pizzas
recipe_1835	Pizzas
recipe_1836	Pizzas
recipe_1837	Pizzas
recipe_1838	Pizzas
recipe_1839	Pizzas
recipe_1840	Pizzas
recipe_1841	Pizzas
recipe_1842	Pizzas
recipe_1843	Pizzas
recipe_1844	Pizzas
recipe_1845	Pizzas
recipe_1846	Pizzas
recipe_1847	Pizzas
recipe_1848	Pizzas
recipe_1849	Pizzas
recipe_1850	Pizzas
recipe_1851	Pizzas
recipe_1852	Pizzas
recipe_1853	Pizzas
recipe_1854	Pizzas
recipe_1855	Pizzas
recipe_1856	Pizzas
recipe_1857	Pizzas
recipe_1858	Pizzas
recipe_1859	Pizzas
recipe_1860	Pizzas
recipe_1861	Pizzas
recipe_1862	Pizzas
recipe_1863	Pizzas
recipe_1864	Pizzas
recipe_1865	Pizzas
recipe_1866	Pizzas
recipe_1867	Pizzas
recipe_1868	Pizzas
recipe_1869	Pizzas
recipe_1870	Pizzas
recipe_1871	Pizzas
recipe_1872	Pizzas
recipe_1873	Pizzas
recipe_1874	Pizzas
recipe_1875	Pizzas
recipe_1876	Pizzas
recipe_1877	Pizzas
recipe_1878	Pizzas
recipe_1879	Pizzas
recipe_1880	Pizzas
recipe_1881	Pizzas
recipe_1882	Pizzas
recipe_1883	Pizzas
recipe_1884	Pizzas
recipe_1885	Pizzas
recipe_1886	Pizzas
recipe_1887	Pizzas
recipe_1888	Pizzas
recipe_1889	Pizzas
recipe_1890	Pizzas
recipe_1891	Pizzas
recipe_1892	Pizzas
recipe_1893	Pizzas
recipe_1894	Pizzas
recipe_1895	Pizzas
recipe_1896	Pizzas
recipe_1897	Pizzas
recipe_1898	Pizzas
recipe_1899	Pizzas
recipe_1900	Pizzas
recipe_1901	Pizzas
recipe_1902	Pizzas
recipe_1903	Pizzas
recipe_1904	Pizzas
recipe_1905	Pizzas
recipe_1906	Pizzas
recipe_1907	Pizzas
recipe_1908	Pizzas
recipe_1909	Pizzas
recipe_1910	Pizzas
recipe_1911	Pizzas
recipe_1912	Pizzas
recipe_1913	Pizzas
recipe_1914	Pizzas
recipe_1915	Pizzas
recipe_1916	Pizzas
recipe_1917	Pizzas
recipe_1918	Pizzas
recipe_1919	Pizzas
recipe_1920	Pizzas
recipe_1921	Pizzas
recipe_1922	Pizzas
recipe_1923	Pizzas
recipe_1924	Pizzas
recipe_1925	Pizzas
recipe_1926	Pizzas
recipe_1927	Pizzas
recipe_1928	Pizzas
recipe_1929	Pizzas
recipe_1930	Pizzas
recipe_1931	Pizzas
