	PolyPili	SclePere	PoaBulb	AlliSpec	EropVern	VerbChai	CladSpec	JasiMont	HypoRadi	AgroVine	CarlAcau	LychVisc	FestOvin	VeroVern	ArabThal	TrifDubi	CentScab	AspeCyna	FestRupi	PhlePhle	PulsGran	TrifAlpe	SeseOsse	ScabOchr	VeroDill	PoteAren	RumeAcet	AchiMill	CentStoe	KoelMacr	ThymPule	HypePerf	HierPilo	PimpSaxi	GaliVeru	PoteFili	TrifArve	PoaAngu	PlanLanc	KnauArve	CeraArve	PoteArge	EchiVulg	ViolArve	ViciTetr	PoteHept	CareCary	CeraPurp	ArrhElat	SileNuta	ViciHirs	PoteTabe	ElytRepe	ViciAngu	RosaSpec	SeduAcre	HeliAren	MyosStri	CampMora	VeroArve	ArteCamp	LuzuCamp	ViolTric	VeroPros	LotuCorn	BertInca	CalaEpig	SeduSexa	SecuVari	AgroCapi	GeniTinc	PrunSpin	VeroCham	ErynCamp	EuphEsul	AjugGene	ConvArve	SangMino	GaliApar	DianDelt	HeliGran	PetrProl	PoaComp	FilaArve	HedwCili	GaliPumi	LeonHisp	CeraGlut	SileOtit	KoelPyra	FragVesc	ViolCani	RhytRugo	AnthOdor	TrifMont	CentCyan	ArteAbsi	BracSpec	ArenSerp	FragViri	MediLupu	SeduRefl	HyloMaxi	RhinMino	FestPall	PlanMedi	CentJace	DantDecu	AlliVine	TrifCamp	CareMuri	PolyJuni	TortMura	BracAlbi	BryuSpec	AbieAbie	DicrPoly	DicrSpec	HypnCupr	BryuArge	PyruPyra	BetuPend	SorbAucu	QuerPetr	LamiAmpl	AstrGlyc	VeroSubl	CytiNigr	SaxiGran	BromTect	AlliOler	AperSpic	HierSaba	AnthArve	RubuFrut	ViciSpec	HierBrac	BromHord	ChonJunc	SileVulg	HoloUmbe	TaraSpec	EuphStri	TrifHybr	TaraSect	PulsPrat	AnthVuln	HierUmbe	TrifMedi	GaliX po	TaraSect	LinaVulg	JoviGlob	ArabGlab	LeonSpec	ViciLath	FestPseu	AnthTinc	CapsBurs	MediFalc	CeraSpec	BrizMedi	TrifRepe	FestRubr	GeraPusi	AcinArve	SileLati	CampPers	DactGlom	FallConv	VerbSpec
555433	0	0	2	0	0	3	4	0	1	4	0	1	38	0	1	0	0	2	0	0	0	3	0	0	2	0	2	1	2	0	4	0	2	0	0	8	1	0	1	0	0	0	0	8	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	0	1	2	0	3	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
555474	0	2	0	0	0	0	18	4	3	4	2	2	8	0	0	0	0	0	0	0	8	4	0	0	1	0	3	2	2	3	3	3	8	3	0	3	0	0	2	0	3	0	2	2	0	0	2	3	0	0	0	0	0	0	0	0	2	1	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
555475	0	0	0	0	0	0	3	3	0	0	0	4	8	0	0	0	0	0	0	0	0	3	2	0	3	0	2	0	4	38	2	3	0	3	3	0	0	0	0	2	0	2	4	2	0	0	8	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
555477	0	0	0	0	0	0	4	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	4	0	2	0	3	3	0	2	3	2	0	2	0	0	1	1	0	3	4	2	0	0	2	4	0	4	2	0	0	0	2	0	0	3	0	0	0	1	0	0	3	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
555478	0	0	0	0	0	0	8	0	0	8	0	3	4	1	2	0	0	1	0	0	0	4	0	0	2	0	4	4	4	3	3	3	0	0	3	2	0	8	0	2	2	3	0	4	0	0	0	4	0	0	1	2	1	0	0	0	2	1	0	1	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
555482	0	18	4	0	0	2	0	0	0	0	0	0	18	0	0	0	0	3	0	0	0	0	0	0	2	0	3	2	3	3	0	0	2	0	0	0	1	1	4	0	0	3	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
555518	0	2	0	0	0	4	3	0	0	4	2	2	8	0	1	0	0	3	0	0	0	18	0	0	2	0	4	2	2	3	2	3	0	0	8	0	4	3	8	0	2	0	0	3	3	0	4	3	2	3	0	8	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	2	0	3	3	0	3	0	0	0	0	0	0	3	0	0	0	0	4	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
555519	8	18	18	0	0	2	4	0	2	4	0	2	4	0	0	0	0	0	0	0	0	0	3	0	3	0	3	2	2	1	0	2	4	0	0	0	0	0	2	0	0	0	0	3	3	0	0	3	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
555714	0	0	0	0	0	0	8	0	0	3	0	2	18	0	0	0	0	0	0	0	0	1	0	0	1	0	3	3	3	8	2	4	3	1	0	0	2	0	0	0	0	0	2	2	0	4	18	4	2	0	0	1	0	0	0	2	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
555715	0	2	0	0	0	0	38	2	3	4	0	2	8	0	0	0	0	1	0	0	0	0	2	0	0	0	4	0	4	3	2	3	3	0	0	3	2	0	2	2	0	2	0	0	0	4	0	0	0	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
555716	0	0	0	0	0	0	0	0	2	8	0	3	38	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	3	4	0	2	2	2	0	4	2	0	0	0	0	2	0	0	1	1	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
555717	3	4	0	0	0	4	8	0	0	2	0	0	0	0	0	0	2	2	18	3	0	4	1	3	0	2	3	0	4	4	0	0	1	1	3	3	0	0	0	0	0	0	2	0	0	0	3	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
555718	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	1	38	3	0	3	2	1	0	0	0	3	0	8	4	0	3	0	3	2	2	8	0	2	0	1	4	1	0	0	0	3	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0
555732	2	2	2	1	1	3	18	0	0	0	0	8	8	0	0	0	0	0	0	0	0	0	3	0	1	0	3	2	1	2	2	3	2	2	2	2	0	0	0	2	4	0	0	0	0	18	0	4	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
555735	0	4	0	0	0	0	8	0	0	2	0	4	3	0	0	0	0	0	0	0	0	1	0	0	0	0	4	3	2	1	0	0	3	0	2	4	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
555736	0	0	0	0	0	0	8	0	0	8	0	4	38	0	0	0	1	4	0	2	3	3	0	0	0	2	0	2	4	3	3	2	2	1	4	4	0	8	0	3	1	1	1	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	2	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
555737	0	0	0	0	0	0	8	0	0	0	0	8	0	0	0	0	4	0	18	0	0	1	0	0	0	0	3	2	3	8	0	0	0	0	1	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
555738	0	2	0	0	0	2	63	2	2	2	1	0	4	0	0	0	0	0	0	0	0	0	2	0	2	0	4	3	3	4	2	0	0	0	3	8	2	0	3	0	0	1	2	0	0	0	0	0	1	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
555739	0	0	0	0	0	0	8	0	0	4	1	4	38	0	0	0	0	0	0	0	0	18	0	0	0	0	8	2	2	4	3	0	3	1	2	0	1	8	0	0	0	1	0	0	2	0	0	0	0	2	2	0	0	2	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
555740	0	2	0	0	0	0	63	0	0	4	2	3	8	0	0	0	0	0	0	0	0	4	1	0	1	0	3	2	2	3	0	0	4	1	2	3	3	0	1	2	1	0	0	0	0	0	3	0	0	2	2	2	0	2	0	0	3	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
555741	0	1	0	0	0	0	63	3	4	3	0	2	4	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	2	2	1	2	3	1	0	0	0	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
555742	0	0	0	0	0	0	0	0	0	4	1	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	8	3	4	3	4	4	0	8	8	0	2	0	0	0	0	2	0	0	0	0	2	2	0	2	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0
555758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	0	0	3	8	0	2	0	0	8	3	0	0	0	4	1	2	1	0	0	0	0	0	2	0	2	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	4	0	0	0	0	0	0	18	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0
555759	3	4	0	0	0	0	18	0	0	8	0	2	18	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	3	0	3	0	2	2	0	0	4	4	3	0	1	18	2	2	0	0	0	0	0	0	2	3	2	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
