Meadow	Ca      	Mg      	Fe      	K       	Na      	Si      	SO4     	PO4     	NO3     	NH3     	Cl      	Corg    	pH      	conduct 	slope   
54	2.716	0.41	0.741	0.101	0.534	0.957	0.156	0.00032	0.002	0.105	0.09	6.2	7	470	5
55	0.673	0.06	0.692	0.041	0.21	1.269	0.083	0.00042	0.005	0.402	0.003	10.5	5.8	131	0
56	0.862	0.093	0.73	0.019	0.154	0.349	0.26	0.00011	0.002	0.088	0.054	6.3	6.6	200	0
57	2.319	0.232	0.836	0.121	0.93	0.429	0.01	0.00126	0.008	0.072	0.209	4.2	7.2	591	15
58	1.972	0.289	0.377	0.12	0.715	0.631	0.437	0.00137	0.003	0.092	0.09	15.7	7.1	480	2
59	1.952	0.379	0.031	0.024	0.184	0.195	0.645	0.00063	0.071	0.025	0.121	5.8	7.2	422	7
60	7.274	0.455	0.559	0.069	0.338	0.667	0.354	0.00011	0.003	0.145	0.054	3.6	8.2	470	5
61	7.463	0.606	0.747	0.116	0.494	1.065	1.352	0.00053	0.005	0.159	0.09	4.5	7.7	709	5
62	1.726	0.093	2.862	0.051	0.377	0.413	0.083	0.0063	0.003	0.135	0.248	14.7	6.5	250	0
63	4.491	0.153	1.558	0.237	0.682	1.246	0.042	0.00053	0.002	0.099	0.003	8.6	7	395	1
64	0.48	0.046	0.316	0.039	0.103	0.209	0.208	0.00105	0.016	0.801	0.158	20.2	5.9	104	0
65	6.846	0.438	0.687	0.086	0.321	0.985	0.478	0.00074	0.039	0.066	0.183	6.1	8.1	472	2
66	4.339	0.866	0.783	0.266	1.593	1.184	0.052	0.002	0.005	0.153	0.093	3.7	7.7	420	7
67	3.16	0.659	0.839	0.242	0.52	2.604	0.229	0.00063	0.002	0.076	0.065	11.6	3.8	25	1
68	0.15	0.036	0.843	0.081	0.083	0.702	0.26	0.00126	0.013	0.22	0.166	13	6.5	60	3
69	0.554	0.079	0.366	0.036	0.105	0.455	0.146	0.00042	0.002	0.062	0.017	5	6.6	383	2
70	3.094	0.436	0.552	0.109	0.294	0.963	0.239	0.00053	0.002	0.057	0.107	1.3	6.5	78	2
