ID No,Latitude,Longitude,Depth,Temperature,Re_hi,An_de,An_mi,Hi_pl,An_lu,Me_ae,Ra_ra,Mi_po,Ar_at,No_rk,Lu_la,Ma_vi,Bo_sa,Cy_lu,Cl_ha,Se_me,Le_de,Ga_mo,Le_ma,Se_ma,Tr_es,Ly_pa,Ly_eu,Ly_re,Ly_se,Ly_es,Ly_va,Be_gl,Ca_re,Tr_spp
432,74.17,29.48,372,1.65,10,3,1,110,0,12,7,0,4,0,0,16,0,0,0,232,1,147,0,0,0,0,0,0,0,0,4,0,3,0
439,74.18,28.28,394,1.85,4,5,0,50,0,5,5,0,0,0,0,36,0,0,0,82,0,117,0,0,0,0,0,0,0,0,2,0,0,0
440,74.53,28.50,395,1.35,6,3,0,83,0,1,5,0,5,2,0,32,0,0,0,184,1,46,0,1,0,5,1,0,0,0,0,0,0,0
441,74.85,28.77,362,0.85,5,3,0,67,0,0,7,0,17,0,0,78,6,0,0,30,10,31,2,0,0,0,0,0,1,0,1,0,0,0
442,74.92,27.35,324,1.05,3,1,1,188,0,0,4,0,4,0,0,42,0,0,0,64,4,228,7,0,0,0,0,1,0,0,1,0,2,0
443,74.62,26.17,332,1.15,0,3,1,58,0,0,3,0,45,0,0,25,1,0,0,71,5,116,1,0,0,0,3,3,0,0,7,0,0,3
444,74.58,27.23,379,1.05,2,4,0,80,0,1,7,0,13,0,0,23,12,0,0,96,5,150,0,0,0,0,0,2,0,0,5,0,0,1
445,74.25,27.00,408,1.45,6,1,0,130,0,0,2,0,2,0,1,24,4,0,0,170,0,53,0,0,0,0,0,0,0,1,0,0,1,0
446,73.90,26.97,415,1.55,14,3,0,37,0,3,1,0,0,3,0,136,2,1,0,386,1,28,0,2,0,0,0,0,0,0,1,0,0,0
447,73.60,25.67,439,1.85,20,0,0,61,0,1,5,0,0,7,0,5,0,0,0,646,0,24,0,2,0,0,0,0,0,0,1,0,0,0
448,73.32,24.28,398,2.05,1,2,0,44,0,7,3,1,0,0,0,20,0,0,0,955,0,40,0,0,0,0,0,0,0,0,11,0,0,0
449,73.03,23.02,399,1.85,9,0,0,61,0,12,0,0,0,5,0,9,0,0,0,635,0,35,0,0,0,0,0,0,0,0,4,0,0,0
450,73.02,21.92,434,2.05,2,0,1,69,0,2,5,4,0,26,0,2,0,0,0,1060,0,54,0,0,0,0,0,0,0,0,2,0,0,0
451,73.08,20.95,455,1.65,9,2,0,90,0,0,2,2,0,16,0,5,0,0,0,411,0,20,0,0,0,0,0,0,0,0,0,0,0,0
