	Adinform	Alnipter	Ardiquin	Ardisieb	Astrferr	Beileryt	Beiltsan	Bridbala	Cameheng	Castcarl	Caststel	Cinnrigi	Cleyjapo	Crypchin	Cyclcham	Cycllong	Cyclpach	Daphglau	Decagrac	Dioseria	Elaesylv	Engeroxb	Euryhaya	Euryjapo	Evodmeli	Evodmerr	Ficufist	Garcmult	Glocrubr	Gloczeyl	Gordaxil	Heliform	Ilexcoch	Ilexmats	Ilexrotu	Ilextrif	Ilexurai	Illiarbo	Lithamyg	Litsacut	Machobov	Machthun	Machzuih	Magnkach	Mallpani	Melisqui	Michcomp	Micrjapo	Myrssequ	Neolbuis	Neolhiir	Osmamarg	Pasabrev	Pasaform	Pithluci	Podophil	Prunphae	Sapidisc	Sauroldh	Scheocto	Schisupe	Sloaform	Sympglom	Sympshil	Symptheo	Syzybuxi	Syzyeuph	Terngymn	Tricdubi	Wendform	Antihiir	Ardicorn	Callremo	Callremo.1	Clercyrt	Euonacut	Lasicyan	Lasiobli	Melacand	Psycrubr	Rhapindi	Rhodsims	Taregrac	Wikstaiw
38	0.300000012	0	0	0	1.299999952	0	0.300000012	0	1.200000048	13.5	0	0.300000012	0	0	3.599999905	0	0	4.300000191	0.800000012	0	0	0.300000012	9.5	0	0	0	0	1.5	0	0	0.100000001	0	1.899999976	6.300000191	0	0.600000024	1.399999976	9.800000191	3.700000048	0	0.300000012	0	0	0.5	0	0	0	3.400000095	3.700000048	0.300000012	0	1.700000048	0	0	0	3.900000095	0	0	0	0	1.799999952	0	2.799999952	0.800000012	1.100000024	7.800000191	0	0.100000001	0.300000012	0	0.300000012	0.300000012	0	0	0	0	0	0	0	0	7.800000191	0.699999988	0	0
41	0	0	0	0.899999976	1.799999952	0	2.799999952	0	0	0	1.899999976	0	0	2.099999905	0	3.5	2.900000095	3.799999952	2.5	2.900000095	0	0	0	0	0	0	1.399999976	0	0	0	0	1.899999976	6.599999905	0	0.899999976	0	1.299999952	0.100000001	0	0.899999976	0	12.19999981	0	1.299999952	0	0	0.899999976	0	0	0	0	0.899999976	0	0	0	0	0	8.899999619	0	26.79999924	1.600000024	0	0	0	0	0	3.099999905	0	0	0	0	0.899999976	0	0	0	1.799999952	0	0	0	1.799999952	0	0	0.899999976	0
43	0	0	3.299999952	0	0	0	0	0	0	0	4.300000191	0	0	0	0	0	0	0	0	3.799999952	0	0	0	0	0	1.200000048	0	0	0	7.400000095	0	0	0	0	0	0	0	0	0	6.5	0	0	0	0	6.199999809	0	0	0	0	0	0	0	3.299999952	0	38.90000153	0	0	0	0	10.89999962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.299999952	0	0	0	0
46	1.100000024	0	2.900000095	0	0	0.200000003	1.399999976	0	0	20.10000038	0	0.100000001	0	1.5	0	0	0	0	0	1.100000024	9.399999619	0	0	0	0	0	0	0	0	0	0	0	8.800000191	4.599999905	0	0	2.599999905	1.200000048	0	0.400000006	0	5.400000095	3.099999905	0	0	0	0	0	0	0	1.200000048	0	0.200000003	0	6.900000095	0	0	0	0	4.900000095	0	0	1.899999976	0	2.599999905	0	3.299999952	0	0	0	0.100000001	0.200000003	0	0	0.100000001	0	0	0	0	3.099999905	0	0	0	0
48	0.899999976	0	4.5	0	0	7.300000191	4.900000095	0	0	0.800000012	0	0	0	0	0	12.60000038	0	9.300000191	0	0.300000012	0	0	0	0	0	0	0	0	0	0	0	0.800000012	15.80000019	0	0	0	0	0.800000012	0.100000001	2.599999905	0	0.899999976	0	1.700000048	0	0	0	0	0	0	3.400000095	0	0	0	0	1.700000048	0.899999976	0	0	0	0	6.599999905	0	0	0	1.100000024	7.300000191	0	0	0	1.799999952	0	1.700000048	0	0	0	0	0.800000012	0	7.5	0	0	0	0
61	14.69999981	0	0	0.699999988	0	0.400000006	1.799999952	0.699999988	0.699999988	1.899999976	0.400000006	0.699999988	0	0	0	6.5	1.799999952	0.699999988	0.300000012	1.399999976	0	0.699999988	0	0	0	0	0	0.699999988	0	0	0	0	6.800000191	0	0	0	6.699999809	8.699999809	3.900000095	5.900000095	0	0.699999988	0	1.299999952	0	0	0.699999988	0	0	0	3.200000048	2.599999905	0	0	0	0	0	5.800000191	0	1.399999976	0	0	0	0	0.699999988	0	0	0	0.699999988	0	0	0.699999988	0	0.699999988	0	0	0	0	0	3.5	0	0	0	0
62	0	0	0	0	0	0.800000012	6.400000095	0	0	27.20000076	1.399999976	0.899999976	0	0	0	0.800000012	0	6.5	0	0	0	2.099999905	0	0	0	0	0	1.100000024	0	0	0	0	12.10000038	0	0	0	4.900000095	4.199999809	0	6.699999809	0	2.700000048	0	0	0.699999988	0	0	0	0	0	0.699999988	0.699999988	0	0	0	0.699999988	0	1.899999976	0	1.700000048	1.100000024	3.5	0.699999988	0	0	0	0	0	0.699999988	0	0	1.399999976	0	0	0	0.699999988	0	0.699999988	0	0.699999988	0	0	0	0
65	0	0	0	0	0	0	0.200000003	0	1.5	3.599999905	0.300000012	0	4.800000191	0	1.600000024	0	0.899999976	0.899999976	0.699999988	0	0.400000006	0	7.599999905	0	0	0	0	1.5	0	0	4.699999809	0	1.600000024	5.300000191	0	8.5	0.899999976	8.699999809	0.600000024	0	0.800000012	0	0	0.200000003	0	0.200000003	0	3.299999952	0.899999976	2.799999952	0	8.399999619	0	0	0	2.799999952	0	0	0	0	0.200000003	0	1.200000048	0.300000012	0.300000012	13.30000019	0	0.300000012	0.600000024	0	0.800000012	1.200000048	0	0	0	0.400000006	0	0	0	0.600000024	3.200000048	0.400000006	0.200000003	0.300000012
67	0.400000006	0	0	0	0	0	0	0	0	29.29999924	0	0	0.300000012	0	1.200000048	0	0	6.599999905	0	0	0	0	10.5	0	0	0	0	0.5	0.200000003	0	2.400000095	0	0.800000012	6.199999809	0	3.599999905	0.200000003	1.899999976	1.700000048	0	0	0	0	0	0	0	0	0.5	0.200000003	0	0	1.100000024	0	0	0	0.200000003	0	0	0	0	2.200000048	0	0.300000012	0	0.300000012	7.400000095	0	1.899999976	0	0	0	0.200000003	0	0	0	0	0	0	0	0	8.399999619	0.300000012	0	0.200000003
71	3.099999905	13.19999981	0.800000012	0.800000012	13.30000019	0.899999976	2.299999952	0	0	3.200000048	12.5	0	0	0	0	0.100000001	0	2.599999905	1.100000024	0.800000012	0	1.899999976	2.900000095	0.899999976	0	0	0	2.099999905	0	0	0	3.799999952	0	0	0.899999976	0	0.899999976	0	0	0	0	0.899999976	1.700000048	1.399999976	0	0	0	0	0	0	3.099999905	1.700000048	0	0	0	0	0	0	0.800000012	5.699999809	0	0	0	0	4.099999905	0	3.700000048	0	0	4.400000095	0	0	0	0	0	1.799999952	0	0	0.800000012	0.899999976	0	0	0	0
