"FT"	"GY"	"LJ"	"PL"	"WJ"	"YLN"	"YYH"
"Ilex.formosana"	0	0	0	0	7	8	0
"Ilex.goshiensis"	0	0	0	0	0	0	0
"Ilex.hayataiana"	0	0	6	18	0	0	0
"Ilex.lonicerifolia"	0	0	5	0	3	0	0
"Ilex.lonicerifolia.v..matsudai"	0	0	0	0	0	3	0
"Ilex.rotunda"	0	0	0	0	0	2	0
"Ilex.suzukii"	0	0	0	0	0	0	8
"Ilex.tugitakayamensis"	0	0	0	10	0	0	0
"Illicium.anisatum"	0	0	0	0	0	0	25
"Illicium.arborescens"	0	0	0	0	19	0	0
"Itea.parviflora"	0	0	9	0	0	0	0
"Koelreuteria.henryi"	0	0	0	0	0	0	0
"Lagerstroemia.subcostata"	2	0	0	0	0	0	0
"Lasianthus.appressihirtus"	0	0	1	0	0	0	0
"Lasianthus.fordii"	0	0	1	0	17	2	0
"Lasianthus.microphyllus"	0	0	0	0	0	15	0
"Lasianthus.obliquinervis"	4	0	0	0	0	0	0
"Lasianthus.wallichii"	0	0	0	0	0	0	0
"Leea.guineensis"	0	0	0	0	0	0	0
"Ligustrum.liukiuense"	0	0	0	0	0	0	1
"Ligustrum.pricei"	0	24	0	0	0	0	0
"Ligustrum.sinense"	0	0	0	0	0	0	0
"Limlia.uraiana"	0	0	0	0	0	0	0
"Lindera.communis"	0	0	0	0	0	1	0
"Lindera.erythrocarpa"	0	0	0	0	0	0	1
"Liodendron.formosanum"	0	0	0	0	0	0	0
"Lithocarpus.amygdalifolius"	0	0	0	0	0	0	0
"Lithocarpus.lepidocarpus"	0	0	0	0	8	0	0
"Litsea.acuminata"	0	0	17	0	25	18	0
"Litsea.cubeba"	0	0	0	0	2	0	0
"Litsea.elongata.v..mushaensis"	0	0	0	2	0	0	2
"Litsea.hypophaea"	0	0	0	0	0	0	0
"Litsea.morrisonensis"	0	0	0	0	1	0	0
"Lyonia.ovalifolia"	0	0	0	1	0	1	6
"Macaranga.tanarius"	1	0	0	0	0	0	0
"Machilus.japonica"	0	0	9	0	0	2	0
"Machilus.japonica.v..kusanoi"	9	0	0	0	0	0	0
"Machilus.thunbergii"	0	0	12	0	23	11	0
"Machilus.zuihoensis"	0	0	0	0	0	0	0
"Machilus.zuihoensis.v..mushaensis"	0	0	7	0	3	2	0
"Maesa.japonica"	0	0	0	0	1	0	0
"Maesa.perlaria.v..formosana"	0	0	4	0	0	0	0
"Mahonia.oiwakensis"	0	19	0	0	0	0	0
"Mallotus.japonicus"	0	0	0	0	5	0	0
"Mallotus.paniculatus"	1	0	0	0	0	0	0
"Mallotus.philippensis"	2	0	0	0	0	0	0
"Malus.doumeri"	0	0	1	0	0	1	0
"Melanolepis.multiglandulosa"	4	0	0	0	0	0	0
"Melicope.pteleifolia"	0	0	0	0	0	0	0
"Meliosma.callicarpifolia"	0	0	0	0	11	0	0
"Meliosma.squamulata"	0	0	0	0	23	0	0
"Michelia.compressa"	0	0	7	0	22	9	0
"Microtropis.fokienensis"	0	0	0	10	0	0	1
"Morus.australis"	2	0	0	0	0	0	0
"Murraya.paniculata"	0	0	0	0	0	0	0
"Neolitsea.aciculata"	0	0	0	0	1	0	0
"Neolitsea.aciculata.v..variabillima"	0	0	0	0	1	0	0
"Neolitsea.acuminatissima"	0	24	0	21	0	0	25
"Neolitsea.konishii"	6	0	0	0	0	0	0
"Neolitsea.parvigemma"	0	0	0	0	20	0	0
"Neolitsea.sericea"	0	0	0	0	0	2	0
"Oreocnide.pedunculata"	10	0	1	0	0	0	0
"Ormosia.formosana"	0	0	0	0	1	0	0
"Osmanthus.enervius"	0	0	0	0	0	1	0
"Osmanthus.heterophyllus"	0	6	0	0	0	0	18
"Osmanthus.lanceolatus"	0	0	0	0	0	0	1
"Osmanthus.marginatus"	0	0	0	0	0	6	0
"Osmanthus.matsumuranus"	0	0	15	0	6	6	0
"Palaquium.formosanum"	0	0	0	0	0	0	0
"Pasania.hancei.v..arisanensis"	0	1	0	0	0	0	0
"Pasania.hancei.v..ternaticupula"	0	0	0	0	1	0	0
"Pasania.hancei.v..ternaticupula.f..subreticulata"	0	0	0	1	0	0	0
"Pasania.harlandii"	0	0	1	0	10	2	0
"Pasania.kawakamii"	0	0	12	0	0	0	0
"Pasania.konishii"	0	0	0	0	0	0	0
"Pasania.nantoensis"	0	0	0	0	0	0	0
"Pasania.synbalanos"	0	0	0	0	10	0	0
"Perrottetia.arisanensis"	0	0	3	0	0	0	0
"Picea.morrisonicola"	0	14	0	1	0	0	0
"Pieris.taiwanensis"	0	0	0	0	0	0	1
"Pinus.armandii.v..mastersiana"	0	0	0	1	0	0	0
"Pisonia.umbellifera"	0	0	0	0	0	0	0
"Pittosporum.illicioides"	0	0	0	0	0	0	0
"Planchonella.obovata"	0	0	0	0	0	0	0
"Podocarpus.nakaii"	0	0	0	0	0	0	0
"Pourthiaea.beauverdiana.v..notabilis"	0	1	0	3	0	0	0
"Prinsepia.scandens"	0	6	0	0	0	0	0
"Prunus.phaeosticta"	0	0	19	2	19	10	0
